Donor Agency,Project Title,Aid Modality,Type Of Assistance,Primary Sector,Implementing Agency,Date of Agreement Signed,Date of Agreement Effective,Date of Planned Completion,Type of PIU,Status,AMP ID,Cumulative Commitment,Cumulative Disbursement,2007 Q1 Actual Disbursements,2007 Q2 Actual Disbursements,2007 Q3 Actual Disbursements,2007 Q4 Actual Disbursements,2008 Q1 Actual Disbursements,2008 Q2 Actual Disbursements,2008 Q3 Actual Disbursements,2008 Q4 Actual Disbursements,2009 Q1 Actual Disbursements,2009 Q2 Actual Disbursements,2009 Q3 Actual Disbursements,2009 Q4 Actual Disbursements,2010 Q1 Actual Disbursements,2010 Q2 Actual Disbursements,2010 Q3 Actual Disbursements,2010 Q4 Actual Disbursements,2011 Q1 Actual Disbursements,2011 Q2 Actual Disbursements,2011 Q3 Actual Disbursements,2011 Q4 Actual Disbursements,Total Actual Disbursements
United Nations Industrial Development Organisation,"Empowering poor rural communities with labour saving technologies for increased labour productivity, food production and income generation",Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/07/2005,01/07/2005,30/06/2008,NGO,Ongoing,8722612610688,1676060,1771256, , , ,1161506, , , ,42173,26638,3527,51000, ,104538,61800,237350,48342,34382, , , ,1771256
United Nations Industrial Development Organisation,Improving SMTQ infrastructure in Malawi (Assistance to MBS),Direct Project Support,Grant,"TRADE, INDUSTRY AND PRIVATE SECTOR DEVELOPMENT",Malawi Investment Promotion Agency,,,,None,Planned,8722612610686,710000,412663, , , , , , , ,403602, , , ,9061, , , , , , , , ,412663
United Nations Industrial Development Organisation,"Enhancing chili production, processing and marketing in Malawi",Direct Project Support,Grant,AGRICULTURE,Nasfam,,,,NGO,Planned,8722612610685,920000,422626, , , , , , , ,315516, , , ,107110, , , , , , , , ,422626
United Nations Industrial Development Organisation,Agribusiness and Farm Enterprise Development – Malawi,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,,,,None,Planned,8722612610683,0,162895, , , , , , , ,130310, , , ,32585, , , , , , , , ,162895
United Nations Industrial Development Organisation,Preparation phase for a project on decentralised renewable energy supply for productive activities,Direct Project Support,Grant,ENERGY AND MINING,Ministry of Energy and Mines,01/12/2008,01/02/2010,30/06/2010,None,Closed,8722612610682,35000,81370, , , , , , , ,46370, , , ,35000, , , , , , , , ,81370
United Nations Industrial Development Organisation,Capacity building for aflotoxin management and control in groundnuts in Malawi.,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/12/2008,01/01/2009,30/06/2010,None,Closed,8722612610681,157930,501001, , , , , , , ,448290, , , ,17209,35539,-37, , , , , , ,501001
United Nations Industrial Development Organisation,Biannual Investor Survey (SPX Investment Monitoring Platform),Direct Project Support,Grant,"TRADE, INDUSTRY AND PRIVATE SECTOR DEVELOPMENT",Ministry of Industry and Trade,01/12/2008,,30/06/2010,None,Ongoing,8722612610680,100000,300738, , , , , , , ,95358, , , ,181180,6000,6000,12200, , , , , ,300738
United Nations Programme on HIV and AIDS,HIV/AIDS activities with Commonwealth Games Association of MAlawi,Direct Project Support,Grant,"GENDER, YOUTH DEVELOPMENT AND SPORTS", ,,,,None,Ongoing,8722617610924,0,5000, , , , , , , , , , , , , , , , ,5000, , , ,5000
United Nations Programme on HIV and AIDS,HIV/AIDS Activities with FPAM,Direct Project Support,Grant,HEALTH, ,,,,None,Ongoing,8722624010923,0,27752, , , , , , , , , , , , , , , , ,27752, , , ,27752
United Nations Programme on HIV and AIDS,HIV/AIDS activities with MoA-Agriculture Extention Services,Direct Project Support,Grant,AGRICULTURE, ,,,,None,Ongoing,8722624010922,0,39607, , , , , , , , , , , , , , , , ,39607, , , ,39607
United Nations Programme on HIV and AIDS,HIV/AIDS activities with Malawi Prison Services,Direct Project Support,Grant,HEALTH,Ministry of Health,,,,None,Ongoing,8722612610818,0,121634, , , , , , , , , , , , , , ,65054,56580, , , , ,121634
United Nations Programme on HIV and AIDS,HIV/AIDS activities - MANERELA,Direct Project Support,Grant,HEALTH, ,,,,NGO,Ongoing,8722612610813,0,4330, , , , , , , , , , , , , ,4330, , , , , , ,4330
United Nations Programme on HIV and AIDS,HIV/AIDS activities with Millenium Villages Project,Direct Project Support,Grant,HEALTH, ,,,,NGO,Ongoing,8722612610793,0,27500, , , , , , , , , , , , , ,27500, , , , , , ,27500
United Nations Programme on HIV and AIDS,HIV/AIDS activities with CHSU,Direct Project Support,Grant,HEALTH,Ministry of Health,,,,None,Ongoing,8722612610714,0,20000, , , , , , , , , , , , ,20000, , , , , , , ,20000
United Nations Programme on HIV and AIDS,"HIV/AIDS activities with NAC, CSOs and NGOs",Direct Project Support,Grant,HEALTH,United Nations Programme on HIV and AIDS,,,,NGO,Ongoing,8722612610677,0,21940, , , , , , , , , , , ,20000,1940, , , , , , , ,21940
United Nations Programme on HIV and AIDS,HIV/AIDS situation analysis (M&E),Direct Project Support,Grant,HEALTH,United Nations Programme on HIV and AIDS,,,,NGO,Ongoing,8722612610676,0,19500, , , , , , , , , , , ,19500, , , , , , , , ,19500
United Nations Programme on HIV and AIDS,HIV/AIDS activities with Pakachere,Direct Project Support,Grant,HEALTH,United Nations Programme on HIV and AIDS,,,,NGO,Ongoing,8722612610675,0,72728, , , , , , , , , , , ,36364, ,36364, , , , , , ,72728
United Nations Programme on HIV and AIDS,HIV/AIDS Legislation with Law Commission,Direct Project Support,Grant,HEALTH,Law Commission,,,,NGO,Ongoing,8722612610623,0,52420, , , , , , , , , , ,4063,30717, ,17640, , , , , , ,52420
United Nations Programme on HIV and AIDS,HIV/AIDS activities with Malawi Defence Force (MDF),Direct Project Support,Grant,HEALTH,Malawi Defence Force,01/01/2007,,31/12/2010,NGO,Ongoing,8722612610590,0,14628, , , , , , , , , , ,14628, , , , , , , , , ,14628
United Nations Programme on HIV and AIDS,HIV/AIDS activities with Dept of Disaster Management and Affairs (OPC),Direct Project Support,Grant,HEALTH,Office of the President and Cabinet,,,,None,Ongoing,8722612610569,0,41649, , , , , , , , , ,20000, , , , ,21649, , , , , ,41649
United Nations Programme on HIV and AIDS,HIV/AIDS activities with MIAA,Direct Project Support,Grant,HEALTH,Ministry of Health,,,,None,Ongoing,8722612610544,0,20000, , , , , , , , ,5000, , ,15000, , , , , , , , ,20000
United Nations Programme on HIV and AIDS,"HIV/AIDS activities with MoWCD, MDF and Police",Direct Project Support,Grant,"GENDER, YOUTH DEVELOPMENT AND SPORTS","Ministry of Gender, Children and Community Development",,,,Embedded,Ongoing,8722612610543,0,673010, , , , , , , , ,33349,109653, ,43524, ,115406, , ,371078, , , ,673010
United Nations Programme on HIV and AIDS,HIV/AIDS activities with Dept of Nutrition (OPC),Direct Project Support,Grant,HEALTH,Office of the President and Cabinet,,,,None,Ongoing,8722612610541,0,157337, , , , , , , , ,20513,5078, , ,127800,3946, , , , , , ,157337
United Nations Programme on HIV and AIDS,HIV/AIDS activities with Lilongwe City Assembly,Direct Project Support,Grant,HEALTH,Ministry of Health,,,,None,Ongoing,8722612610508,0,3083, , , , , ,1922, , , , , , , ,166, ,995, , , , ,3083
United Nations Programme on HIV and AIDS,HIV/AIDS activities with MANASO,Direct Project Support,Grant,HEALTH,Ministry of Health,,,,None,Ongoing,8722612610507,0,10000, , , , , ,10000, , , , , , , , , , , , , , ,10000
United Nations Programme on HIV and AIDS,HIV/AIDS activities with MANET+,Direct Project Support,Grant,HEALTH,Ministry of Health,,,,None,Ongoing,8722612610506,0,139005, , , , , , ,8000,18201, ,3000, ,48384, ,21450,3481,36489, , , , ,139005
United Nations Programme on HIV and AIDS,HIV/AIDS activities with NAC,Sector Support - NAC,Grant,HEALTH,"Nutrition, HIV and AIDS and National AIDS Commission",,,,Embedded,Ongoing,8722612610505,0,483797.029, , , , ,23568,245329,20317,6352, , , ,60000,10000, ,9345,19096,41000, , , ,435007
United States Agency for International Development,USAID INITIATIVE FOR LONG TERM TRAINING CAPACITY BUILDING IN MALAWI (UILTCB),Direct Project Support,Grant,AGRICULTURE,World Bank,,01/11/2008,31/10/2010,None,Ongoing,8722612410287,500000,6406184, , , , , , ,10786,499346,26048,500000, , , ,750000,750000,750000,500001,500001,500001,500001,5286184
United States Agency for International Development,National distribution and management of Long Life Insecticide treated nets,Direct Project Support,Grant,HEALTH,POPULATION SERVICES INTERNATIONAL (PSI),,07/02/2011,06/02/2013, ,Ongoing,8722612610963,4405185,1618000, , , , , , , , , , , , , , , , , ,232754,375015,926623,1534392
United States Agency for International Development,Extending Quality Improvement for HIV/AIDS in Malawi (EQUIP),Direct Project Support,Grant,HEALTH,Partners In Hope,,15/03/2010,14/03/2015,NGO,Ongoing,8722612610708,12144477,11566421, , , , , , , , , , , ,320879,126621,717528,314381,487137, ,55359,645609,873549,3541063
United States Agency for International Development,Malawi: Civil Society Support Program for Local Governance,Direct Project Support,Grant,HEALTH, ,,01/03/2011,31/03/2012, ,Ongoing,8722612610964,1185000,786558, , , , , , , , , , , , , , , , , , ,786558, ,786558
United States Agency for International Development,In- Door Residual Spraying (IRS),Direct Project Support,Grant,HEALTH, ,,12/07/2010,30/09/2010, ,Planned,8722612610758,20305049,5866050, , , , , , , , , , , , ,32850, , ,2759620,255505,586124,2192264, ,5826363
United States Agency for International Development,Capacity Support for Early Childhood Development and Psch-social support,Direct Project Support,Grant,HEALTH,Save the Children,30/08/2010,,30/08/2013,NGO,Ongoing,8722612610722,2400000,1526486, , , , , , , , , , , , , , ,201975,566000, ,138000,324250,276750,1506975
United States Agency for International Development,MATERNAL CHILD HEALTH INTERGRATED PROGRAM -MCHIP,Direct Project Support,Grant,HEALTH,JHPIEGO CORPORATION,01/10/2009,,30/09/2011,NGO,Closed,8722612410619,6940000,6102608, , , , , , , , , , ,181912,1097858,114351,1050000,1050000,1050000,1555398, , , ,6099519
United States Agency for International Development,INTERMITTENT PREVENT TREATMENT OF PREGNANT WOMEN,Direct Project Support,Grant,HEALTH,Centers for Disease Control and Prevention,01/07/2009,,30/09/2009,NGO,Ongoing,8722612410539,3777211,2597409, , , , , , , , ,559610, ,61697,149782,65476,207693,285000,285000, , , , ,1614258
United States Agency for International Development,EDUCATION DECENTRALIZATION SUPPORT ACTIVITY (EDSA) 2,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",,20/02/2009,28/02/2012,None,Ongoing,8722611610454,11559463,557120, , , , , , ,150076,79673, , , ,280898, , , , , , , , ,510647
United States Agency for International Development,PROCUREMENT OF CONTRACEPTIVES,Direct Project Support,Grant,HEALTH,Central Contraceptives Procurement,01/09/2002,,30/09/2011,None,Ongoing,8722612510154,18159949,18934191, , , , , , , ,2785000,1155000,1155000, , ,1062500,1062501,1062501,1062501,1062501,1062501,1062501,1062501,13595007
United States Agency for International Development,DELIVER TASK ORDER 1-HOST COUNTRY STRATEGIC INFORMATION CAPACITY,Direct Project Support,Grant,HEALTH,"JOHN SNOW, INC.",,02/01/2007,30/09/2011,NGO,Ongoing,8722611410251,2415000,5348558, , , ,490000, , , ,1089690,1503175, ,317165,160744, ,121595,363547,418569, ,85946,798127, ,5348558
United States Agency for International Development,Kulera Biodiversity Activity,Direct Project Support,Grant,AGRICULTURE,Total Land Care,,20/10/2009,31/12/2010,NGO,Ongoing,8722612410565,7000000,5905204, , , , , , , , , ,9843, ,367422,988025,478396,395824,670347,201372,488786,30000,16031,3646046
United States Agency for International Development,CRS-WALA: LAND AND WATER MANAGEMENT,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Catholic Relief Services - USCC,01/07/2009,,30/11/2014,NGO,Ongoing,8722612410538,81525900,11515362, , , , , , , , ,5970574, ,1500942,3704971, ,122500,21500,13000,88500,35000,27000,18200,11502187
United States Agency for International Development,Mountain Biodiversity Increase Livelihood Security (MOBILISE),Direct Project Support,Grant,INTEGRATED RURAL DEVELOPMENT,Mount Mulanje Conversation Trust,,04/01/2010,31/12/2012,NGO,Ongoing,8722612410615,3000000,1879187, , , , , , , , , ,9843, ,89579,110479,82824,338350,28551,86863,280263, ,458864,1485616
United States Agency for International Development,MALAWI DAIRY DEVELOPMENT ALLIANCE,Direct Project Support,Grant,AGRICULTURE,"LAND O'LAKES, INC.",01/01/2007,01/01/2007,31/12/2010,NGO,Ongoing,872261199934,3000000,5672296,227000,220806, ,695092,266946,230624,303912,526379,172180,309458,236592,320928,236943,260532,557757,232814,197969,218503,171723,196906,5583064
United States Agency for International Development,MALAWI TEACHER TRAINING ACTIVITY,Direct Project Support,Grant,EDUCATION, ,01/09/2004,,31/01/2008,NGO,Ongoing,8722611610301,180000,116841, , , , ,115791,1050, , , , , , , , , , , , , , ,116841
United States Agency for International Development,INTERACTIVE RADIO INSTITUTION,Direct Project Support,Grant,EDUCATION,EDUCATION DEVELOPMENT CENTER INC,15/05/2007,,02/02/2010,NGO,Ongoing,872261259907,5300000,10901969,92457,587910,428230,262119,498530, ,807287,855718,407312,535244,288645,515520,865107,1204416,842193,489198,734902,685303,801878, ,10901969
United States Agency for International Development,Malawi Small Holder Diary Development Program,Direct Project Support,Grant,AGRICULTURE,Heifer Project International,,25/08/2009,30/09/2012,NGO,Ongoing,8722612610582,349387,509357, , , , , , , , , , ,4436,87512,47796,142239,59173,64658,17360,10098,36252,39833,509357
United States Agency for International Development,FAMINE EARLY WARNING SYSTEMS NETWORK (FEWSNET),Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",Chemonics International,03/07/2000,03/07/2000,30/09/2008,NGO,Ongoing,872261199876,2030422,864151, ,30556,161000, , , ,199697,100114,600,33389,165000,47689,106,4500,4500,4500, , , , ,751651
United States Agency for International Development,EDUCATION DECENTRALIZATION SUPPORT ACTIVITY (EDSA),Direct Project Support,Grant,EDUCATION,Academy for Education Development,,20/02/2009,28/02/2012,NGO,Ongoing,8722611610453,500000,7272339, , , , , , , ,210585,283607,630076,282815,493548,727988,600411,1196315,1616016,298173,305716,425771,15459,7086480
United States Agency for International Development,Read Malawi/ Malawi Text Books Learning Materials Program,Direct Project Support,Grant,EDUCATION, ,01/09/2009,,31/08/2013,NGO,Ongoing,8722612610731,13000000,6388789, , , , , , , , , , , , ,3139789,1083000,1083000,1083000, , , , ,6388789
United States Agency for International Development,TBD-Strengthening Agricultural Value Chains and Enterpreneur (SAVE),Direct Project Support,Grant,AGRICULTURE, ,,01/01/2011,30/08/2013,NGO,Planned,8722612610727,0,4148000, , , , , , , , , , , , ,4148000, , , , , , , ,4148000
United States Agency for International Development,Intergrated Mitigation and positive Action for Community Transformation(IMPACT) Program CRS Malawi,Direct Project Support,Grant,HEALTH,Catholic Relief Services - USCC,14/07/2010,,30/06/2014,NGO,Planned,8722612610719,13006046,4832133, , , , , , , , , , , , ,51000,1132000,1453500,156000,1492000,334100, ,213533,4832133
United States Agency for International Development,CAPACITY DEVELOPMENT STRATEGY DEVELOPMENT,Direct Project Support,Grant,EDUCATION, ,,01/12/2009,30/11/2010,NGO,Ongoing,8722612610709,731213,536419, , , , , , , , , , , ,170813,365606, , , , , , , ,536419
United States Agency for International Development,PSI Enhanced HIV/AIDS and Improved Family Health (ENHAP),Direct Project Support,Grant,HEALTH," - Ministry of Health
 - POPULATION SERVICES INTERNATIONAL (PSI)",,30/06/2005,30/09/2009,None,Ongoing,8722612610707,11620004,2794301, , , , , , , , , , , ,2794301, , , , , , , , ,2794301
United States Agency for International Development,Enterpreneur Training on Wheels Creation of Mobile Training Facility for Village Women in Malawi,Direct Project Support,Grant,"GENDER, YOUTH DEVELOPMENT AND SPORTS",CUMO MICRO FINANCE LTD,01/09/2009,,30/09/2010,NGO,Ongoing,8722612410617,499542,200927, , , , , , , , , , , , , , ,59050,7491,65284, ,40186,28916,200927
United States Agency for International Development,SUPPORT TO ELECTORAL REFORM AND ELECTIONS IN MALAWI,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,04/03/2008,04/03/2008,30/09/2008,NGO,Ongoing,8722611610298,882000,882000, , , , ,1347, ,79748,800905, , , , , , , , , , , , ,882000
United States Agency for International Development,PHASE III MALAWI DEMOGRAPHIC AND HEALTH SURVEY,Direct Project Support,Grant,HEALTH,National Statistics Office,,01/10/2009,31/12/2010,None,Ongoing,8722612410537,1250000,854405, , , , , , , , ,238933, , ,515472, ,100000, , , , , , ,854405
United States Agency for International Development,EGPAF - CALL TO ACTION,Direct Project Support,Grant,HEALTH,ELIZABETH GLASER PEDEATRIC AIDS FOUNDATION,,,,NGO,Ongoing,8722612510515,420000,1377843, , , , , , ,512853,143500,220000,403530,97960,0, , , , , , , , ,1377843
United States Agency for International Development,JHU-BRIDGE,Direct Project Support,Grant,HEALTH, ,,,,NGO,Ongoing,8722612510514,2500000,75376, , , , , , , ,75376, , , , , , , , , , , , ,75376
United States Agency for International Development,BIOMETRIC AND FINANCIAL INNOVATIONS IN THE RURAL MALAWI,Direct Project Support,Grant,AGRICULTURE, ,15/09/2008,15/09/2008,14/01/2009,NGO,Closed,8722612410503,25000,25000, , , , , , , ,25000, , , , , , , , , , , , ,25000
United States Agency for International Development,National Democratic Institute (NDI) - accountable Democracy in Malawi,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,15/03/2009,,,NGO,Ongoing,8722612410501,500000,500000, , , , , , , ,500000, , , , , , , , , , , , ,500000
United States Agency for International Development,Management Sciences for Health - M&L Buy-In,Direct Project Support,Grant,HEALTH, ,,,01/09/2009,NGO,Ongoing,8722612410497,610866,610866, , , , , , ,8405,602461, , , , , , , , , , , , ,610866
United States Agency for International Development,Strengthening FP Service Delivery & Pre-Service & In-Service Training,Direct Project Support,Grant,HEALTH,INTRAHEALTH INTERNATIONAL,09/02/2009,09/02/2009,31/01/2011,NGO,Closed,8722612610456,3700000,3880109, , , , , , , ,101238,253095,1080497,404043,1335582,405390,144007,156257, , , , , ,3880109
United States Agency for International Development,PARTNERSHIP FOR CHILD HEALTH C,Direct Project Support,Grant,HEALTH, ,,10/01/2007,30/09/2010,NGO,Ongoing,8722612410427,16213487,4100000, , , , , , ,300000,3800000, , , , , , , , , , , , ,4100000
United States Agency for International Development,POPULATIONS SERVICES INTERNATIONAL,Direct Project Support,Grant,HEALTH, ,,07/01/2005,30/09/2009,NGO,Closed,8722612410426,11428403,797593, , , , , , ,797593, , , , , , , , , , , , , ,797593
United States Agency for International Development,SMALL PROJECTS (BUNDLING),Direct Project Support,Grant,HEALTH, ,,03/09/2007,31/03/2009,NGO,Ongoing,8722612410425,37052,7223, , , , ,6589,634, , , , , , , , , , , , , , ,7223
United States Agency for International Development,ACCESS TO CLINICAL AND COMMUNITY MATERNAL AND NEONATAL CARE PROGRAM IN MALAWI,Direct Project Support,Grant,HEALTH,Ministry of Health,,01/10/2007,30/09/2010,None,Closed,8722612410391,8277446,3125514, , , , , , , ,2704264,377149,44101, , , , , , , , , , ,3125514
United States Agency for International Development,SUPPORT TO COMMUNITY-BASED THERAPEUTIC CARE INSTITUTIONALISATION IN MALAWI,Direct Project Support,Grant,HEALTH, ,,05/05/2008,30/04/2009,NGO,Ongoing,8722613110336,300000,419811, , , , ,33633,77166,67218,86026, , , , , , ,155768, , , , , ,419811
United States Agency for International Development,Food Security,Direct Project Support,Grant,AGRICULTURE, ,01/07/2008,01/07/2008,,NGO,Ongoing,8722611610304,455943,455943, , , , ,233151,222792, , , , , , , , , , , , , , ,455943
United States Agency for International Development,Irrigation,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION", ,01/07/2008,01/07/2008,,NGO,Ongoing,8722611610303,400000,400000, , , ,6176,157525,77030, ,159269, , , , , , , , , , , , ,400000
United States Agency for International Development,INDOOR RESIDUAL SPRAYING,Direct Project Support,Grant,HEALTH,RESEARCH TRIANGLE INSTITUTE,01/10/2007,01/10/2007,30/09/2009,NGO,Ongoing,8722611610302,1150000,6590839, ,40000, , ,260000, , ,2819880,29527,850000,121709, , ,752344,1717379, , , , , ,6590839
United States Agency for International Development,PMPTC,Direct Project Support,Grant,HEALTH, ,,,,NGO,Ongoing,8722611610299,444996,370812, , , , ,150812,220000, , , , , , , , , , , , , , ,370812
United States Agency for International Development,CAPACITY BUILDING FOR PUBLIC AND PRIVATE SECTOR FINANCIAL INSTITUTION,Direct Project Support,Grant,"TRADE, INDUSTRY AND PRIVATE SECTOR DEVELOPMENT",FINANCIAL SERVICES VOLUNTEER CORPS (FSVC),08/02/2008,08/02/2008,31/01/2010,NGO,Closed,8722611610297,225000,324999, , , , ,66170,42620,25039,56170, ,35000, , , , ,100000, , , , , ,324999
United States Agency for International Development,UNICEF MALARIA GRANT,Direct Project Support,Grant,HEALTH,United Nations Children's Fund,,19/06/2007,18/06/2012,NGO,Ongoing,8722611410258,4788800,13994092, ,436243,248757,3633800, ,371118,42682,5689918,363414,636586, ,660574, , ,140000,210000,475000, , ,1086000,13994092
United States Agency for International Development,STRENGTHENING PHARMACEUTICAL SYSTEM,Direct Project Support,Grant,HEALTH,MANAGEMENT SCIENCES FOR HEALTH,,07/11/2007,07/10/2010,NGO,Ongoing,8722611410254,400000,3271347, ,234800,165200, , , , ,1050000,1050000,390725,179979,200643, , , , , , , , ,3271347
United States Agency for International Development,MATERNAL AND NEW BORN PROGRAM IN MALAWI,Direct Project Support,Grant,HEALTH, ,,01/10/2007,30/09/2010,NGO,Closed,8722611410250,2100000,1600000, ,600000,1000000, , , , , , , , , , , , , , , , , ,1600000
United States Agency for International Development,IAA FOLLOW-ON AGREEMENT,Direct Project Support,Grant,HEALTH, ,,,,NGO,Ongoing,8722611410249,1175000,753627, , , ,753627, , , , , , , , , , , , , , , , ,753627
United States Agency for International Development,PROJECT HOPE MALAWI,Direct Project Support,Grant,HEALTH,PROJECT HOPE,30/09/2006,,29/09/2011,NGO,Ongoing,8722612510201,300000,879225, ,119680,27727,42113, , ,36176,594649,58880, , , , , , , , , , , ,879225
United States Agency for International Development,BLOOD DRIVE PROJECT,Direct Project Support,Grant,HEALTH, ,03/09/2007,,02/09/2008,NGO,Ongoing,8722612510161,4577,2082, , , , ,1448,634, , , , , , , , , , , , , , ,2082
United States Agency for International Development,HOME BASED CARE AND SUPPORT FOR HIV/AIDS INFECTED AND AFFECTED HOUSEHOLDS (2),Direct Project Support,Grant,HEALTH, ,01/07/2005,,31/08/2005,NGO,Closed,8722612510151,241450,209184,-170,480, , ,164, , , , , , , , , , , , , , , ,474
United States Agency for International Development,HOME BASED CARE AND SUPPORT FOR HIV/AIDS INFECTED AND AFFECTED HOUSEHOLDS,Direct Project Support,Grant,HEALTH, ,01/09/2005,,31/03/2008,NGO,Ongoing,8722612510142,4167238,4127000,254313, ,37880, ,29042,-14189,20636,737473, , , , , , , , , , , , ,1065155
United States Agency for International Development,MALAWI REPRODUCTIVE HEALTH AND FAMILY PLANNING PROGRAM,Direct Project Support,Grant,HEALTH, ,01/01/2004,,31/12/2007,NGO,Ongoing,8722612510134,6753938,6753938,1047460,367450,432853,14344, , , , , , , , , , , , , , , , ,1862107
United States Agency for International Development,NETS FOR TEST,Direct Project Support,Grant,HEALTH,Ministry of Health,,01/09/2007,01/09/2008,NGO,Ongoing,8722612210098,3837,881, , , , ,881, , , , , , , , , , , , , , , ,881
United States Agency for International Development,COMMUNITY PARTICIPATION IN PREVENTION AND TREATMENT OF HIV/AIDS,Direct Project Support,Grant,HEALTH, ,03/09/2007,,02/09/2008,NGO,Closed,8722612510092,4577,4260, , , , ,4260, , , , , , , , , , , , , , , ,4260
United States Agency for International Development,CONDUCT 2004 MALAWI DEMOGRAPHIC HEALTH SURVEY,Direct Project Support,Grant,HEALTH, ,30/09/2004,,31/10/2008,None,Closed,8722612510087,1172050,1842060,103760, , ,172050, , , , , , , , , , , , , , , , ,275810
United States Agency for International Development,REDUCING CHILD MORTALITY AND STRENGTHENING HEALTH CARE SYSTEMS IN MALAWI,Direct Project Support,Grant,HEALTH, ,07/04/2003,,30/09/2007,NGO,Ongoing,8722612510086,17649940,17314879,895561, ,778252, ,76822, , , , , , , , , , , , , , , ,1750635
United States Agency for International Development,COMMUNITY BASED FAMILY PLANNING (FP) AND HIV/AIDS SERVICES,Direct Project Support,Grant,HEALTH,MANAGEMENT SCIENCES FOR HEALTH,01/10/2007,,30/09/2011,NGO,Closed,8722612510084,4665000,10207145, , ,229049,258319,538223,485971,822438,604000,450000,774000,397364,1068389,951000,944000,899000,1785392, , , , ,10207145
United States Agency for International Development,"USAID/DELIVER SUPPORT TO ,ALAWO HEALTH COMMODITY LOGISTICS MANAGEMENT INFORMATION SYSTEMS",Direct Project Support,Grant,HEALTH,"JOHN SNOW, INC.",01/10/2006,,30/09/2011,NGO,Ongoing,8722612510078,2309000,6039638, , , , , , , ,490000,4281424,965000,100947,202267, , , , , , , , ,6039638
United States Agency for International Development,RATIONAL PHARMACEUTICAL MANAGEMENT PLUS: SUPPORT TO MALARIA CONTROL PROGRAM,Direct Project Support,Grant,HEALTH, ,01/04/2007,,31/03/2010,NGO,Ongoing,8722612510072,200000,200000,200000, , , , , , , , , , , , , , , , , , , ,200000
United States Agency for International Development,TIKAMBIRANE- CIVIL SOCIETY,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,01/12/2004,01/12/2004,30/09/2008,NGO,Ongoing,8722611910071,434621,425751, ,-8870, , , , , , , , , , , , , , , , , , ,-8870
United States Agency for International Development,PROMOTION OF HIV/AIDS VOLUNTARY COUNSELING AND BEHAVIOUR CHANGE,Direct Project Support,Grant,HEALTH, ,03/09/2007,,02/09/2008,NGO,Ongoing,8722612510070,4520,4784, , , , , , , ,4784, , , , , , , , , , , , ,4784
United States Agency for International Development,DECREASING POVERTY AND IMPROVING QUALITY OF LIFE OF MALAWI'S ORPHANED AND VULNERABLE CHILDREN,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,06/12/2005,06/12/2005,28/11/2008,NGO,Ongoing,8722611910068,269070,259283,17809,20989,39724,18496,4644,5686,1100,7362, , , , , , , , , , , , ,115810
United States Agency for International Development,REDUCING THE VULNERABILITY OF YOUNG PLWHA,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,01/09/2007,,02/09/2008,NGO,Ongoing,8722612510063,4577,837, , , , , , , ,837, , , , , , , , , , , , ,837
United States Agency for International Development,BASICS III - Basic Support for Institutionalizing Child Survival (BASICS) - Strengthened Child Health Care in Malawi,Direct Project Support,Grant,HEALTH,PARTNERSHIP FOR CHILD HEALTH CLIINIC,01/10/2007,,30/03/2012,NGO,Closed,8722612510058,16213487,15732515, , , ,718062,799172,757870,974896,1507000,970775,915357,1959493,1514834,1100000,1250000,1063488,1759568, , ,360000,82000,15732515
United States Agency for International Development,MALAWI BUSINESS ACTION AGAINST CORRUPTION,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,01/08/2006,01/08/2006,30/04/2008,NGO,Ongoing,8722611910055,98695,84253,19637,14006,18109,18253, , , , , , , , , , , , , , , , ,70005
United States Agency for International Development,INSECTICIDE TREATED NETS,Direct Project Support,Grant,HEALTH," - PMI COMMODITIES
 - United Nations Children's Fund",21/08/2006,,01/07/2011,None,Closed,8722612510054,1086000,200000, , , , , , , , , ,200000, , , , , , , , , , ,200000
United States Agency for International Development,HIV/AIDS COMMUNITY-BASED APPROACHES,Direct Project Support,Grant,HEALTH,PRIVATE AGENCIES COLLABORATING TOGETHER (PACT),01/12/2006,,30/09/2011,NGO,Ongoing,8722612510046,18803225,21480820,489136, ,1039582,1270183,799110,590338,2435816,784594,2372573,1267014,1375111,1603331,2569807,1008262,848544,1114162,1202166,184005,43709,275252,21272695
