Donor,Project Title,Objective,Project Description,Actual Start Date,Actual Completion Date,Financing Instrument,OECD/DAC Sectors,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,2015 Actual Commitments,Total Actual Commitments
United Nations,SUPPORT TO CONFIDENCE BUILDING MEASURES II,"The overall objective of the programme is to facilitate the settlement of the Transnistrian issue through ensuring economic and social development of local communities and increasing confidence between both banks of the Nistru River by involving local authorities, civil society organizations, business community and other stakeholders.","The overall objective of the programme is to contribute to confidence building between both banks of the Nistru River by involving local authorities, civil society organisations, business community and other stakeholders, as well as through ensuring economic and social development of local communities. The programme aims to ensure that ongoing efforts at settlement at the political level (5+2 informal and formal talks) and technical levels (confidence building working groups) are supported by development and confidence building initiatives at the community level that seek to create a general atmosphere conducive to dialogue and cooperation at all levels. The programme aims to reduce misperceptions and mistrust and increase confidence between programme participants and the population at large on both banks.",01/04/2012,31/10/2015," - Government Counterpart Funds
 - Grant",150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,273446.937,611418.368,459188.717,0,1344054.023
United Nations,ENGAGING PARTNERS FOR CHILD RIGHTS PROMOTION (2013-2017),"Civil Society organizations and media contribute to, monitor and advocate for key normative documents related to child rights, and the 2009 concluding observations of the CRC","Capacity building of CSOs and media in Moldova (including Transnistria region) in advocating and influencing the development of strategic documents and services, including for the most vulnerable children.",01/01/2013,31/12/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,102006.831,146206.019,63812.095,312024.946
United Nations,JUSTICE FOR CHILDREN (2013-2017),"Justice system and police structures provide child-friendly procedures and services for children in contact with the law or police, in civil and criminal cases.",Promoting international legal standards for justice for children,01/01/2013,31/12/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,171641.176,161974.411,131010.721,464626.309
United Nations,CHILD AND SOCIAL PROTECTION SYSTEMS (2013-2017),"By 2017,child and social protection system have functional continuum of services and cash assistance, focusing on prevention of family separation , violence and exploitation, response and treatment of victims.","Prevention of family separation and support to vulnerable families - ensuring continuum of services for all identified child cases ( deprivation of parental care, child abuse, violence, neglect, sexual exploitation and child labour)",01/01/2013,31/12/2017,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,445665.709,427971.794,497244.455,1370881.958
United Nations,REMOVING OBSTACLES TO EDUCATION ACCESS (2013-2017),Reduce disparities in access to quality early childhood and basic education services;,"By 2017, the government at all levels in close coordination with other stakeholders has and uses clear mechanism for enrolment and retention in pre-schools and schools of all children, with special focus on children in disadvantaged situations.",01/01/2013,31/12/2017,Grant,110 - EDUCATION,0,0,0,0,0,148366.586,270923.233,310165.316,729455.136
United Nations,ACHIEVING EQUITY IN HEALTH (2013-2017),"Reduce disparities in access to child and adolescent health services: child health, micronutrient deficiencies, HIV/AIDS prevention, Youth friendly health services, communication activities in immunization, parenting, adolescent health behaviour),etc","Support the development of policy documents to ensure equitable access of most vulnerable children and adolescents to quality health services; support community and parent's participation in child and adolescent health and development strengthening the capacity of the health system to provide quality health services to children and adolescent, including in emergencies",01/01/2013,31/12/2017,Grant,120 - HEALTH,0,0,0,0,0,114736.433,175633.905,49779.851,340150.189
United Nations,EMPOWERING ADOLESCENTS (2013-2017),"By 2017 adolescent boys and girls, especially most vulnerable and excluded, have knowledge, skills and support from peers and adults to adopt healthy lifestyle, demand appropriate services and otherwise exercise their rights",Support the development of policy documents to ensure equitable access of most vulnerable adolescents to quality health services; support community and parent's participation in adolescent health and development strengthening the capacity of the health system to provide quality health services to adolescent.,01/01/2013,31/12/2017,Grant," - 120 - HEALTH
 - 130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH",0,0,0,0,0,40984.395,0,100071.2,141055.596
United Nations,SOCIAL POLICY AND BUDGETS (2013 - 2017),"By 2017 Central and Local authorities and Parliament develop, implement and monitor evidence- and result-based policies (including budgets) for all children, especially disadvantaged ones","Social protection expenditures in education budget identified based on international experience, legal and normative framework analysed, new budgeting options developed; Per student finding formula adjusted to inclusive education; Government capacity in data collection and analysis of socio-economic situation of the most vulnerable children, use of evidence for the formulation and monitoring of policies and programmes strengthened;",01/01/2013,31/12/2017,Grant," - 150 - GOVERNMENT AND CIVIL SOCIETY
 - 160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES",0,0,0,0,0,173609.968,210839.633,119462.312,503911.914
United Nations,IMPROVING EDUCATION QUALITY FOR EQUITY (2013-2017),"Support the development policy documents (education strategy, standards, curricula) to ensure quality pre-school and basic education; support in strengthening the capacity of the education system to provide quality education to all children, based on CFS approach.","By 2017, education authorities at national and local levels apply new quality education standards for improved teaching skills, learning environment and learning outcomes in ways which reduce disparities.",01/01/2013,31/12/2017,Grant,110 - EDUCATION,0,0,0,0,0,314015.992,438139.72,235618.299,987774.012
United Nations,SCHOOL –TO –WORK TRANSITION SURVEY FOR YOUNG PEOPLE IN THE REPUBLIC OF MOLDOVA IN 2015,"Within the framework of the ILO-MasterCard Foundation ""Work4Youth"" Project, the National Bureau of Statistics (NBS) of the Republic of Moldova will undertake a SWTS survey to collect and analyze information on the various challenges that influence young men and women while they are making the transition to working life. Attention will be given especially to gender differences in this process. The presentation and dissemination of the information will include a national report, national workshop and will directly influence policy-making and program development.","The school-to-work transition survey (SWTS) will be run with the first round (1st quarter) of the 2013 Labour Force Survey (LFS) as an ad-hoc module and will be based on a sub-sample of the sampling frame used for the 2013 LFS. The sample size will be equivalent to 4'000 households with a national coverage. All persons aged between 15 and 29 years in the household will be interviewed with the SWTS questionnaire. The level of disaggregation required for the SWTS is by sex and by general geographic area (rural/urban). The SWTS 2013 shall aim to provide, to the extent possible, reliable estimates of the youth labour statistics, including stages of transition. NBS will adapt the SWTS questionnaire and design an enumerator manual.",01/12/2014,01/01/2016,Grant,110 - EDUCATION,0,0,0,0,0,0,29529.325,0,29529.325
United Nations,Decent Work Country Programme,1.Improving governance of the labour market. 2. Promoting decent work and employment opportunities. 3. Improving social protection.,"The present country programme is informed by international development agendas such as the Millennium Development Goals (MDGs), as well as the United Nations Development Assistance Framework (UNDAF) for 2012_2015. The DWCP is based on the ""Rethink Moldova"" and ""Moldova 2020"" strategies and national development objectives.The DWCP is a continuation of joint work on the promotion of decent work principles in Moldova based on tripartite social dialogue which took into account balanced policy, a combination of economic growth and decent employment, changes in social development, and increases in living standards. The DWCP will contribute towards Moldova achieving its development goals and national priorities.",12/06/2012,12/12/2015,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,0,614675.374,0,614675.374
United Nations,FORMALIZATION OF THE INFORMAL ECONOMY,"Strengthen the capacity and commitment of governments and the social partners to design and implement policies and measures that, through the formalization of the economy, will improve the quality, decency and productivity of jobs.","In order to grant sustainability to the interventions, the main focus will be on strengthening the institutional capacity of direct recipients, meaning those stakeholders that shall play a role in the fighting against informality: social partners, line ministries, public employment services, vocational education and training agencies, labour inspectorates, social security institutes. Attention will be devoted to the involvement of statistical offices that can help monitor the trends of informality within the overall economic and social indicators. Social dialogue and partnership, mainly through the re-vitalization and empowerment of tripartite national economic and social councils, will be central to the project and it will enhance the sustainability of the initiative. The strategy will build on lessons learned from the ILO project implemented between 2008 and 2010 on Enhancing Social Partnership to Tackle Undeclared Work in Albania, Bosnia and Herzegovina, and Montenegro. The ultimate beneficiaries of the project will be the workers and entrepreneurs of the informal economy, the project will devote special attention to women operating in the informal economy, who are concentrated on the most unstable, unprotected and precarious categories, therefore their opportunities of labour market insertion are lower than that of men.",22/06/2014,30/09/2015,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,0,118477.043,0,118477.043
United Nations,"Capacity-building to promote synergies on the coordinated implementation of the Basel, Rotterdam and Stockholm Conventions in Belarus, Moldova and the Republic of Macedonia",The general objective of the project is to strengthen national capacities to effectively implement the Basel Rotterdam and Stockholm Conventions in a coordinated and integrated manner,"The Republic of Moldova has ratified all three chemical conventions during the last decades, however, there still is a clear need for an improvement of the chemicals' and waste management within the country in order to fulfil the commitments assumed within chemicals and waste MEAs. This implies the harmonization of the national legislation in compliance with the requirements set in such treaties. When there is no comprehensive system for chemicals and hazardous waste regulation, which would be in line with the international requirements (a situation characteristic for the Republic of Moldova at the current moment), it is very difficult to ensure an adequate management of chemicals, which would prevent environment pollution and human health degradation during their entire lifecycle. Thus, the project will support national environmental authority to strengthen capacity-building to promote synergies on the coordinated implementation of the Basel, Rotterdam and Stockholm Conventions.",07/04/2014,30/09/2014,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,0,34590.965,0,34590.965
United Nations,PROGRAM COORDINATION AND ASSISTANCE,,,01/01/2013,01/01/2018,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,39893.509,41413.258,0,81306.767
United Nations,"ENHANCED CAPACITY OF NATIONAL INSTITUTIONS TO PRODUCE AND ANALYZE STATISTICAL DATA ON POPULATION DYNAMICS, YOUTH, GENDER EQUALITY AND SEXUAL AND REPRODUCTIVE HEALTH","The proposed project is based on government priorities as articulated in the draft of ‘Moldova 2020’ and the One United Nations Partnership Framework, 2013-2017. It incorporates recommendations of the programme evaluation and draws on the Millennium Development Goals, the Programme of Action of the International Conference on Population and Development, and the UNFPA strategic plan, 2008-2013.The proposed project focuses on reproductive health and rights, with an emphasis on underserved groups. It covers population policies and dynamics and addresses gender-based violence. Cross-cutting issues include human rights and gender equality, the concerns of young people, inclusive partnerships, national ownership and humanitarian assistance.The nationwide geographical coverage of the proposed project allows it to target regional disparities and reach vulnerable populations, including those in rural areas and in the post-conflict region of Transnistria. The project addresses the reproductive health needs of young people and adolescents, the aged, the Roma population and people with disabilities. It encourages collaboration with public officials, academia and civil society, with a view towards developing their individual and institutional capacity. The proposed project seeks to support government efforts to build regulatory and institutional mechanisms to promote good governance and equity. To that end, it will develop national capacity to ensure equal access to basic social, health and reproductive health services.",UNFPA will provide assistance to establish a training course for the demographic community to generate and use gender-disaggregated data for public policy formulation. UNFPA will also help the Government to prepare for the population and housing census and to analyse the resulting data.,01/01/2013,01/01/2018,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,126294.123,141129.47,0,267423.593
United Nations,Strengthened national systems for reproductive health commodity security,Strengthened national systems for reproductive health commodity security,"In cooperation with the Government, UNFPA will support efforts to increase the demand for, and the effective monitoring and proper use of, commodities in multiple service outlets at all levels, including at the grass-roots level. UNFPA will help to upgrade the monitoring system, train health professionals on commodities management and assist the Government in implementing a supply system and distribution mechanism for reproductive health commodities and services.",01/01/2013,31/12/2017,Grant,130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,0,0,0,0,0,51720.99,50847.859,0,102568.85
United Nations,"Increased capacity of PHC facilities to provide FP within integrated SRH services, with a focus on vulnerable populations and on the victims and perpetrators of domestic violence","Increased capacity of PHC facilities to provide FP within integrated SRH services, with a focus on vulnerable populations and on the victims and perpetrators of domestic violence","UNFPA va sprijini integrarea planific_rii familiale în cadrul serviciilor complete de s_n_tate reproductiv_, inclusiv îngrijirea s_n_t__ii materne _i prevenirea HIV. UNFPA va sprijini Guvernul în institu_ionalizarea form_rii profesionale pentru servicii integrate de s_n_tate sexual_ _i reproductiv_, inclusiv planificarea familial_ pentru medici de familie, asistente medicale _i echipe multidisciplinare la nivelul asisten_ei medicale primare. UNFPA va sprijini, de asemenea, institu_iile na_ionale în utilizarea unei abord_ri multidisciplinare pentru a oferi servicii integrate în domeniul s_n_t__ii sexuale _i reproductive, precum _i servicii de planificare familial_ pentru victimele _i f_ptuitorii actelor de violen__ în familie. UNFPA will support the integration of family planning within comprehensive reproductive health services, including maternal health care and HIV prevention. UNFPA will support the Government in institutionalizing training on integrated sexual and reproductive health services, including family planning for family doctors, nurses and multidisciplinary teams at the primary health-care level. UNFPA will support national institutions in using a multidisciplinary approach to providing integrated sexual reproductive health and family planning services for the victims and perpetrators of domestic violence.",01/01/2013,31/12/2017,Grant,130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,0,0,0,0,0,17811.944,91547.361,0,109359.305
United Nations,"Strengthened national capacity to utilize and disseminate data to inform decision-making and policy formulation on population dynamics, youth, gender equality and sexual and reproductive health","Proiectul propus are la baz_ priorit__ile Guvernului, a_a cum au fost formulate în cadrul variantei de proiect pentru „Moldova 2020” _i Cadrul de Parteneriat al Na_iunilor Unite, 2013-2017. Acest proiect încorporeaz_ recomand_rile evalu_rii de program _i se bazeaz_ pe Obiectivele de Dezvoltare ale Mileniului, Programul de Ac_iune al Conferin_ei Interna_ionale pentru Popula_ie _i Dezvoltare _i planul strategic UNFPA, 2008-2013. Proiectul propus se concentreaz_ asupra s_n_t__ii _i drepturilor reproductive, cu accent asupra grupurilor defavorizate. De asemenea, acoper_ politicile _i dinamica popula_iei _i abordeaz_ violen_a bazat_ pe gen. Aspectele transversale includ drepturile omului _i egalitatea de gen, preocup_rile tinerilor, parteneriatele incluzive, proprietatea na_ional_ _i asisten_a umanitar_. Acoperirea geografic_ la nivel na_ional a proiectului propus permite acestuia s_ ia în vizor disparit__ile regionale _i s_ î_i l_rgeasc_ raza de ac_iune c_tre popula_iile vulnerabile, inclusiv cele din zonele rurale _i din regiunea post-conflict transnistrean_. Proiectul face apel la necesit__ile în materie de s_n_tate reproductiv_ ale tinerilor _i adolescen_ilor, celor în vârst_, popula_iei de romi _i persoanelor cu dizabilit__i. În plus, încurajeaz_ colaborarea cu func_ionarii publici, mediul academic _i societatea civil_, în vederea dezvolt_rii capacit__ilor lor individuale _i institu_ionale. Proiectul propus urm_re_te s_ sprijine eforturile Guvernului de a construi mecanisme normative _i institu_ionale pentru promovarea bunei guvern_ri _i a echit__ii. În acest scop, Proiectul va dezvolta capacitatea na_ional_ de asigurare a accesului egal la servicii de baz_ sociale, de s_n_tate _i de s_n_tate reproductiv_.","UNFPA va sprijini dezvoltarea capacit__ii institu_iilor na_ionale de statistic_ de a utiliza _i disemina date la nivel na_ional _i sub-na_ional. UNFPA va facilita utilizarea datelor de c_tre Guvern în elaborarea politicilor _i programelor bazate pe dovezi în urm_toarele domenii: (a) accesul la serviciile de s_n_tate sexual_ _i reproductiv_, inclusiv planificarea familiei; (b) migra_ia; (c) rata sc_zut_ a fertilit__ii _i (d) îmb_trânirea. UNFPA va pleda pentru utilizarea datelor în scopul dezvolt_rii cadrului juridic _i a implement_rii mecanismelor de prevenire a violen_ei bazate pe gen.",01/01/2013,31/12/2017,Grant,130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,0,0,0,0,0,29626.492,69957.852,0,99584.345
United Nations,"Enhanced capacity of national institutions and civil society organizations to plan, implement and monitor age-appropriate sexual and reproductive health education, as well as a programme to prevent HIV and sexually transmitted infections","Enhanced capacity of national institutions and civil society organizations to plan, implement and monitor age-appropriate sexual and reproductive health education, as well as a programme to prevent HIV and sexually transmitted infections for young people and key populations","UNFPA will advocate with and provide technical assistance to the Government to improve the access of youth to sexual and reproductive health information, education and counselling in schools and in out-of-school settings. Interventions will include strengthening peer-to-peer initiatives, with a focus on at-risk youth. UNFPA will work with youth organizations to promote communication and knowledge sharing in the areas of sexual and reproductive health and rights and HIV prevention. UNFPA will strengthen the capacity of civil society organizations to mobilize and empower community networks, deliver interventions aimed at preventing HIV and sexually transmitted infections, and encourage the use of sexual and reproductive health and HIV services.",01/01/2013,31/12/2017,Grant,130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,0,0,0,0,0,65810.527,79138.564,0,144949.092
United Nations,EU HIGH LEVEL POLICY ADVICE MISSION TO MOLDOVA,"The overall objective of the project is to provide high level policy advice to the Republic of Moldova in the overall implementation of the Government Programme “European Integration: Freedom, Democracy, Welfare” 2009-2013, with particular focus on the EU integration agenda, economic recovery and reforms.","The overall objective of the project is to provide high level policy advice to the Republic of Moldova in the overall implementation of the Government Programme “European Integration: Freedom, Democracy, Welfare” 2009-2013, with particular focus on the EU integration agenda, economic recovery and reforms. The support will be given through to the main institutions including the Prime Minister’s Office, the Ministries of Justice, Economy, Finance, Interior, as well as the Customs Service and support them in their efforts of designing, implementing and monitoring relevant policies and measures. The project will employ a team of international high level experts in key areas to act as advisers to the Government office, line ministries and other institutions.",15/01/2010,31/12/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,180881,0,0,0,0,180881
United Nations,Strengthening the investment promotion capabilities of MIEPO and supporting investment promotion of industrial parks in the Republic of Moldova,The main objective of the project is to improve and strengthen investment in the Republic of Moldova through the promotion of industrial parks as well as through capacity building of the Moldovan Investment and Export Promotion Organization (MIEPO).,"Proiectul va consta din dou_ componente: a) consolidarea capacit__ilor Organiza_iei Republicii Moldova de Investi_ii _i Promovare a Exportului (MIEPO) în promovarea investi_iilor, _i b) promovarea parcurilor industriale.",01/10/2013,31/10/2016,Grant," - 250 - BUSINESS AND OTHER SERVICES
 - 331 - TRADE POLICY AND REGULATIONS AND TRADE-RELATED ADJUSTMENT",0,0,0,0,0,1000000,0,0,1000000
United Nations,Improvement of industrial statistics and development of indicators of industrial performance for policy-relevant analysis in CIS countries,The objective of the project is to improve the institutional capacity of CIS countries' National Statistical Offices (NSOs) by implementing the recently adopted international standards of industrial statistics in order to enable the NSOs of the region to produce timely and internationally comparable statistics relevant to industrial development policy.,"The project targets both data producers and data users. Data producers will learn the methods and procedures of harmonizing national industrial statistics with international standards. Users will get internationally comparable data essential for analysis of performance and other policy relevant topics. The rationale of regional approach is justified by the fact that there are many similarities between the industrial statistical system of Russia and those of other CIS countries. Two obvious benefits from implementing new standards in CIS countries in cooperation with Rosstat are noteworthy. First, Rosstat has significant experience and technical capacity in introducing new standards. Second, training activities, which will be an important part of the project, can include the other CIS countries as the Russian language will be the medium of training for all countries.",01/08/2012,30/10/2015,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,0,0,1050000,0,0,0,1050000
United Nations,"Consolidarea r_spunsului justi_iei penale la fenomenul traficului de persoane, garantarea asisten_ei juridice pentru victime _i poten_ialele victime _i prevenirea violen_ei domestice _i a crimelor bazate pe ur_ în Republica Moldova",,,01/05/2014,01/05/2015,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,0,500000,0,500000
United Nations,JOINT INTEGRATED LOCAL DEVELOPMENT PROGRAMME (NEW PHASE 2013-2015),"The Overall Objective of the Programme is to support better and equitable service provision and sustainable local development, facilitated by improved legal and institutional framework resulting from the implementation of the National Decentralization Strategy","The new phase of the Programme targets two inter-related Components, as follows: Component 1: Policy Framework Support for the Implementation of the Decentralization Strategy Component 2: Viable models of operational LPAs supported-in line with the changes brought by the Decentralization Strategy Under Component 1, the Programme will support the Government in the implementation of fiscal decentralization policies, in improving the territorial-administrative structure of the country, and in clarifying the competences in key sectors for LPAs. In addition, the Programme will work to strengthen the capacity of the Government to carry out the reform by partnering with key local institutions like APA, CALM and CSOs. Under Component 2, the interventions at the local level will aim at developing models of operational local governments - ‘champions of change’ - by providing support to implement changes in the operation and structure of local governments in line with the changes brought by the Decentralization strategy. JILDP will assist LPAs in improving their capacity and operations, will support target communities and their local authorities to provide quality public services to achieve sustainable economic and social development, in the main areas affected by the Decentralization strategy.",01/01/2013,01/01/2016,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,239876.562,0,0,239876.562
United States,COMPACT,programme elements:- road rehabilitation- agriculture,programme elements:- road rehabilitation- agriculture,01/09/2010,01/09/2015,Grant," - 210 - TRANSPORT AND STORAGE
 - 311 - AGRICULTURE",0,0,201847682.6,0,0,0,0,0,201847682.6
United States,Development Credit Authority (DCA) Loan Portfolio Guarantee Agreement with Prime Capital,"USAID/Moldova aims to support at least six key industry clusters in Moldova: winemaking, apparel manufacturing, information technology (IT), footwear, furniture, and other emerging exports industries.",Development Credit Authority Activity in Moldova,27/09/2011,26/09/2018,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,0,117837.9,0,0,0,0,117837.9
United States,"STRENGTHENING THE MULTIDISCIPLINARY APPROACH IN ACHIEVING AND SUSTAINING A LIFE FREE OF VIOLENCE, UN","To strengthen the capacity of police officers, social assistants and medical staff to provide protection for victims of domestic violence using a multidisciplinary approach.","The Government efforts to combat violence against women are significant. However, despite all this progress, the national legal framework needs to be further improved to enable more effective implementation of protection orders. Furthermore, there is a gap between the normative framework and reality at the community level. Thus, a two-fold approach has been chosen: 1) In close cooperation with the Ministy of Health and Ministry of Internal Affairs, Training of Trainers has been identified as the most effective instrument for medical staff and police officers. 2) As part of the NRS consolidation, the capacity of MDTs to monitor the Protection Orders will be increased. The capacity building program will be based on the latest developments in legislation and standard operating procedures",01/01/2013,31/05/2014,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,15526.744,0,0,15526.744
United States,Development Credit Authority (DCA) Loan Portfolio Guarantee Agreement with Comertbank,"USAID/Moldova aims to support at least six key industry clusters in Moldova: winemaking, apparel manufacturing, information technology (IT), footwear, furniture, and other emerging exports industries.",Development Credit Authority Activity in Moldova,27/09/2011,27/09/2018,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,0,271609.347,0,0,0,0,271609.347
United States,Development Credit Authority (DCA) Loan Portfolio Guarantee Agreement with Rural Finance Corporation,Development Credit Authority Activity in Moldova,"USAID/Moldova aims to support at least six key industry clusters in Moldova: winemaking, apparel manufacturing, information technology (IT), footwear, furniture, and other emerging exports industries.",27/09/2011,26/09/2018,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,0,135804.673,0,0,0,0,135804.673
United States,WOMEN’S CAREER DEVELOPMENT PROGRAM,Development of a new social enterprise model for a sustainable Women’s Career Development Program in northern part of Moldova.,"The Women’s Career Development Program will provide support services, information, consultancy and training to vulnerable and socially-disadvantaged women in order to empower them with marketable knowledge and skills necessary for sustainable livelihood and their subsequent employment. Professional training will be offered in the following areas: accounting, banking, sales, computer use, office management, etc.A Social Enterprise will be established to generate income for PBN’s community-benefiting activities. The income generated will be used to support a sustainable Women’s Career Development Program to empower vulnerable and disadvantaged women from the Balti region and rural areas in northern Moldova.",28/07/2009,30/12/2015,Grant,250 - BUSINESS AND OTHER SERVICES,0,182439.251,0,126022.824,0,109385.254,0,0,417847.33
United States,Development Credit Authority (DCA) Loan Portfolio Guarantee Agreement with Prime Capital (second agreement),"USAID/Moldova aims to support at least six key industry clusters in Moldova: winemaking, apparel manufacturing, information technology (IT), footwear, furniture, and other emerging exports industries.",Development Credit Authority (DCA) Loan Portfolio Guarantee Agreement with Prime Capital,30/09/2013,29/12/2028,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,0,0,0,145528.632,0,0,145528.632
United States,ASSISTANCE AGREEMENT BETWEEN GOVERNMENT OF REPUBLIC OF MOLDOVA AND THE GOVERNMENT OF UNITED STATES FOR THE ECONOMIC GROWTH,"Programme sectors: private sector competitivity economic oportunities, elaboration, and evalution of programme.","Programme sectors: private sector competitivity economic oportunities, elaboration, and evalution of programme.",06/07/2010,30/09/2017,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,28628.212,0,21839.919,645991.663,4333336.217,0,5029796.012
United States,ASSISTANCE AGREEMENT BETWEEN THE GOVERNMENT OF THE UNITED STATES OF AMERICA AND THE GOVERNMENT OF THE REPUBLIC OF MOLDOVA FOR THE LOCAL GOVERNMENT SUPPORT PROJECT,"Pentru a promova obiectivele asisten_ei str_ine de Guvernare Just_ _i Democratic_ _i Cre_tere Economic_ formulate de Guvernul Statelor Unite ale Americii în baza Programului Cadru pentru Asisten_a Interna_ional_ a Statelor Unite, P_r_ile prezentului Acord convin s_ lucreze împreun_, concentrându-se asupra activit__ilor în urm_toarele Domenii ale Programului: Buna Guvernare _i Infrastructura.","Activitatea, Proiectul de Sus_inere a Autorit__ilor Publice Locale, va fi sus_inut_ prin Acordul prezent. Prin îmbun_t__irea capacit__ilor _i posibilit__ilor autorit__ilor publice locale de a r_spunde la necesit__ile serviciilor de baz_ pentru cet__eni, USAID va sus_ine tranzi_ia spre o descentralizare efectiv_, ajutând autorit__ile publice locale la exercitarea noilor împuterniciri în vederea onor_rii de c_tre acestea a responsabilit__ilor de serviciu încredin_ate.",17/09/2010,30/04/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,544279.947,0,0,0,2650365.068,0,3194645.015
United States,CRIMINAL LEGISLATION REFORM PROGRAM OF AMERICAN LAWYER ASSOCIATION'S LEGAL INITIATIVE FOR CENTRAL AND EASTERN EUROPE,CRIMINAL LEGISLATION REFORM PROGRAM OF AMERICAN LAWYER ASSOCIATION'S LEGAL INITIATIVE FOR CENTRAL AND EASTERN EUROPE,Criminal legislation reform assistance,01/07/2008,31/07/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,601659.032,0,0,0,0,232901.172,145391.102,0,979951.307
United States,Support to Justice Sector Reform in Moldova Project,"Ensuring access to a fair justice system is at the core of UN mandate. The United Nations-Republic of Moldova Partnership Framework (2013-2017) (UNPF) highlights the need for continuous support in promoting democratic governance, justice, equality and human rights, with a particular focus on justice reform in the Outcome 1.2: Justice sector actors are better able to promote access to justice and uphold rule of law in compliance with international commitments. Thus, the project is in line with the UNPF objectives and will contribute to the achievement of the planned results within the current cycle of the UN - Republic of Moldova cooperation.","The overall objective of the project is to strengthen and support the comprehensive efforts to reform the justice sector in the Republic of Moldova achieving the independence, accountability, impartiality, efficiency and transparency of justice system in line with the Justice Sector Reform Strategy (2011 - 2016) and its Action Plan. The project seeks to further strengthen the capacities of national stakeholders in the Justice Sector Reform Strategy implementation in specific areas with the focus on the tangible and visible results both for the target groups involved and the broader public. The project will also address activities that are equally important for a steady progress in the implementation of the reform, but had not received a relevant attention yet.",01/01/2010,31/12/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,88860.759,330566.37,491038.546,910465.676
United States,Support of Organic Agriculture Project in Moldova,The Support of Organic Agriculture Project in Moldova aims at increasing the production of organic products and expanding the sector of organic agriculture in Moldova.,"The project will enhance the capacities of Moldovan farmers through knowledge transfer activities such as training, study tours, demonstration activities, build the capacities of local providers of training and consultancy services related to organic agriculture, and will increase the Moldovan public awareness about organic production through a media campaign and the launch of a Moldovan Organic Farming Web Portal.",30/04/2013,29/04/2015,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,0,0,0,117879.046,0,0,117879.046
United States,ASSISTANCE AGREEMENT BETWEEN THE GOVERNMENT OF USA AND THE GOVERNMENT OF RM FOR THE RULE OF LAW INSTITUTIONAL STRENGTHENING PROGRAM,"To promote foreign assistance objective of Governing Justly and Democratically formulated by the Government of the United States under the Framework Programme for International Assistance to the United States, parties to this Agreement agree to work together, focusing on activities in the field of rule of law and human rights the program","Agreement is to strengthen institutional capacities, transparency and accountability of key institutions of the justice sector, in order to guarantee independence and increase the effectiveness and professionalism of the judiciary. By strengthening the stability and effectiveness of institutions responsible for guaranteeing democracy and the rule of law, including its administrative and judicial capacity building",22/07/2011,30/09/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,73063.554,1129505.333,0,1202568.888
