Project Title,Municipality,Donor Agency,OECD/DAC Sector,Implementing Agency,Beneficiary Agency,2008 Actual Commitments,2008 Actual Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2010 Actual Commitments,2010Actual Disbursements,Total Actual Commitments,Total Actual Disbursements
"  IPA 2009 - Promotion of Agriculture - Horticulture, livestock and fruit production in Mitrovica Region"," - Mitrovica
 - North Mitrovica",European Union Office,311 - AGRICULTURE,Initiative for Agriculture Development of Kosovo,Municipality of Mitrovica,0,0,0,0,526258.231,296432.776,526258.231,296432.776
  IPA 2012 - Facilitation of Municipal Elections in Northern Kosovo 2013," - Leposaviq
 - North Mitrovica
 - Zubin Potok
 - Zvecan",European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,OSCE,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Entrepreneurship Initiative Support (EIS),Zubin Potok,European Union Office,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,0,0,373342.014,0,373342.014,0
  Development of Land Administration in Kosovo, ,Sweden,400 - MULTISECTOR/CROSS-CUTTING,Blom & Orgut,Kosovo Cadastre Agency,816693.744,724010.766,493238.039,543208.325,29310.843,29265.994,1339242.626,1296485.087
  Transnational Action Against Child Trafficking (TACT)," - Ferizaj
 - Gjakova
 - Gjilan
 - Mitrovica
 - Peja
 - Pristina
 - Prizren",Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,Terre des Hommes," - Ministry of Education, Science and Technology
 - Ministry of Labor and Social Walfare",153633.129,153633.129,124541.757,119462.34,0,0,278174.886,273095.47
  Support to the Ombusperson Institute in Kosovo, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,Council of Europe,Ombudsperson Institution of Kosovo,148003.549,148003.549,0,0,0,0,148003.549,148003.549
  Advancing gender equality and women's rights in Kosovo, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Women,Kosovo Women's Network,213058.525,213058.525,0,0,0,0,213058.525,213058.525
"  Support to Foundation Partnerships in Health, HIV/AIDS Programme in South Eastern Europe", ,Sweden,130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,Foundation Partnerships in Health,Ministry of Health,228344.92,185106.413,172913.775,195323.954,0,0,401258.695,380430.368
  Support to environmental civil society in South Eastern Europe, ,Sweden,400 - MULTISECTOR/CROSS-CUTTING,Regional Environmental Center for Central and Eastern Europe,N/A Beneficiary Organization,210784.653,224858.69,182578.215,185610.366,0,0,393362.869,410469.057
  Improving institutional capacity and monitoring capabilities at central and local level for increasing vulnerability of Roma in Western Balkans, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Development Programme,Ministry for Community and Return,435154.316,435154.316,238503.193,262666.116,0,0,673657.51,697820.433
"  Open Fun Football Schools, South East Europe", ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,Cross Cultures Project Association,Ministry of Culture Youth and Sports,104124.25,104124.25,77215.889,78866.293,86579.652,82334.094,267919.792,265324.638
  Advisory services to the Municipality of Mitrovica,Mitrovica,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,Iniciativa Kosovare Per Stabilitet,Municipality of Mitrovica,83328.738,83328.738,84563.853,87362.335,0,0,167892.591,170691.073
  Roma Education Fund, ,Sweden,110 - EDUCATION,Roma Education Fund,Caritas Kosovo,153633.129,165120.396,124541.757,115943.068,0,0,278174.886,281063.465
  Consultancy support for design of Programme Based Approach in Forestry Sector, ,Sweden,312 - FORESTRY,SIPU International AB,"Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,0,0,0,0
  Support to the designing of a SWAp in the Education and Forestry Sectors in Kosovo, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,SIPU International AB," - Ministry for Agriculture, Forestry and Rural Development
 - Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  Capacity Building and Education Reform Project (CBERP), ,Sweden,110 - EDUCATION,SIPU International AB,"Ministry of Education, Science and Technology",0,0,168098.716,194970.486,424030.831,434561.203,592129.547,629531.69
  Implementing a Forest Sector Development Program in Kosovo, ,Sweden,312 - FORESTRY,Food and Agriculture Organization,"Ministry for Agriculture, Forestry and Rural Development",125633.05,125633.05,0,0,0,0,125633.05,125633.05
  Cross-border Cooperation between Gjilan Presevo Kumanovo and Trgoviste,Gjilan,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,East-West Management Institute,Municipality of Gjilan,228606.096,202662.597,0,0,0,0,228606.096,202662.597
  Support to Forestry Education and Training, ,Sweden,312 - FORESTRY, ,"Ministry for Agriculture, Forestry and Rural Development",438386.512,438386.512,0,0,0,0,438386.512,438386.512
  European Roma Rights Centre program in Kosovo, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,European Roma Rights Center,Ministry of Justice,0,0,92385.822,92385.822,0,0,92385.822,92385.822
  Support to Kvinna till Kvinna, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,Kvinna till Kvinna," - Artpolis
 - Aureola
 - Kosovo Gender Studies Center
 - Kosovo Women's Network
 - Legjenda
 - NGO Liria
 - Network of RAE Women's Organizations in Kosovo
 - Open Door
 - Ruka Ruci
 - Women's Center for protection of Human Rights",990933.685,820701.941,765931.806,865199.02,439880.494,412610.677,2196745.985,2098511.638
  Eu Beautiful Kosovo I," - Gjakova
 - Gllogovc
 - Gracanica
 - Hani i Elezit
 - Junik
 - Kacanik
 - Kamenica
 - Klina
 - Kllokot
 - Leposaviq
 - Malisheva
 - Mitrovica
 - Novoberda
 - Obiliq
 - Partesh
 - Peja
 - Pristina
 - Prizren
 - Rahovec
 - Skenderaj
 - Vushtrria
 - Zubin Potok
 - Zvecan",European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,International Organization for Migration,Ministry of Labor and Social Walfare,0,0,0,0,0,0,0,0
  Support for establishment of rural development networks in SEE countries, ,Food and Agriculture Organization,311 - AGRICULTURE,Food and Agriculture Organization,"Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,0,0,0,0
  Statistics Sweden's regional project in South Eastern Europe, ,Sweden,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Statistics Sweden,Statistical Office of Kosovo,82029.912,82029.912,175603.877,207341.537,138043.017,147248.239,395676.807,436619.689
  Improved property tax collection in Kosovo, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,Swedish Tax Agency,Ministry of Finance,238848.843,225103.038,1090867.477,1222716.736,1320084.155,1315040.074,2649800.476,2762859.849
  Support to Civil Rights Defenders, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,Civil Rights Defenders," - Civil Rights Project in Kosovo
 - Humanitarian Law Centre in Kosovo (HLC/Kosovo)
 - Kosovo Centre for Investigative Journalism
 - Kosovo Media Association
 - Kosovo Rehabilitation Centre for Tortured Victims
 - Organization for Democracy, Anticorruption and Dignity (ÇOHU)
 - Press Council in Kosovo
 - Speak Up! Movement (FOL)
 - Women's Association in Gjakova/_akovica
 - Youth Initiative for Human Rights",652940.8,529302.467,529302.467,597901.762,579525.095,574268.247,1761768.363,1701472.477
  Support to Olof Palme International Center, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,Olof Palme International Center," - Advocacy and Resource Training Center -ATRC
 - Children's Theater
 - Communication for Social Development
 - Kosova Democratic Institute
 - Kosovar Civil Society Foundation
 - Kosovo Institute Policy Research and Development
 - ODA Theatre
 - Syri I Vizionit
 - Youth Association Human Rights YAHR",652940.8,529302.467,624888.266,705875.786,629098.928,621430.673,1906927.995,1856608.927
  Cultural Heritage Programme in the Western Balkans, ,Sweden,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Culture Heritage without Borders," - Ministry of Culture Youth and Sports
 - Ministry of Trade and Industry",973185.788,973185.788,495178.026,478531.739,596003.158,587870.409,2064366.973,2039587.937
  Support to environmental action planning in South Eastern Europe," - Ferizaj
 - Gjakova
 - Gjilan
 - Klina
 - Peja",Sweden,400 - MULTISECTOR/CROSS-CUTTING,Regional Environmental Center for Central and Eastern Europe," - Municipality of Ferizaj
 - Municipality of Gjakova
 - Municipality of Gjilan
 - Municipality of Klina
 - Municipality of Peja",249653.835,272906.301,249083.514,238924.681,261833.627,242396.587,760570.977,754227.57
  Support to the Development of a National Environmental Investment Strategy, ,Sweden,400 - MULTISECTOR/CROSS-CUTTING,Ministry of Environment and Spatial Planning,Ministry of Environment and Spatial Planning,0,0,0,0,0,0,0,0
  Support to preparation of Kosovo Environmental Strategy (KES) and the National Environmental Action Plan (NEAP) 2011-2015, ,Sweden,400 - MULTISECTOR/CROSS-CUTTING,Ministry of Environment and Spatial Planning,Ministry of Environment and Spatial Planning,0,0,0,0,197856.039,229233.132,197856.039,229233.132
  Policy assistance to Kosovo to identify policy support measures linking  local agricultural production with domestic and EU market AND Young Farmers Club Development," - Decan
 - Gjakova
 - Istog
 - Peja",Food and Agriculture Organization,311 - AGRICULTURE,Food and Agriculture Organization,"Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,0,0,0,0
  Kosovo Loan Portfolio Guarantee Program, ,United States Agency for International Development,311 - AGRICULTURE,United States Agency for International Development,N/A Beneficiary Organization,0,0,0,407324,0,3752,0,411076
  Kosovo Water Institutional Sector Reform Program, ,United States Agency for International Development,140 - WATER AND SANITATION,United States Agency for International Development,N/A Beneficiary Organization,0,0,4500000,0,2000000,820267,6500000,820267
  Center for Entrepreneurship and Executive Development, ,United States Agency for International Development,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,630000,55840,0,119273,630000,175113
  Kosovo Center for Business Development,North Mitrovica,United States Agency for International Development,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Increasing Citizens' Awareness and Participation in the Justice System BIRN, ,United States Agency for International Development,150 - GOVERNMENT AND CIVIL SOCIETY,United States Agency for International Development,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Advisory Services to Assist in Privatization of the Electricity Distribution Company in Kosovo    Advisory Services to Assist in Privatization of the Electricity Distribution Company in Kosovo, ,United States Agency for International Development,230 - ENERGY GENERATION AND SUPPLY,United States Agency for International Development,N/A Beneficiary Organization,0,0,5249725,0,2350000,667560,7599725,667560
  Environmental Assessment for Thermal Power Plant-Kosovo B, ,United States Agency for International Development,230 - ENERGY GENERATION AND SUPPLY,United States Agency for International Development,N/A Beneficiary Organization,0,0,0,0,600000,230192,600000,230192
  Strengthening Election Administration in Kosovo II," - Leposaviq
 - North Mitrovica
 - Zubin Potok
 - Zvecan"," - Government of Kosovo
 - United States Agency for International Development",150 - GOVERNMENT AND CIVIL SOCIETY,United States Agency for International Development,N/A Beneficiary Organization,0,0,0,0,3500000,0,3500000,0
  Internet Intelligence Research Training (Advanced), ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,United Kingdom of Great Britain and Northern Ireland,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Internet Intelligence Research Training (Basic), ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,United Kingdom of Great Britain and Northern Ireland,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Deep search of Heavy Goods Vehicles (preventing drug smuggling), ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,United Kingdom of Great Britain and Northern Ireland,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Horticulture Promontion in Kosovo Phase IV & V (2008-2012), ," - Ministry of Foreign Affairs of Denmark
 - Swiss Agency for Development and Cooperation",311 - AGRICULTURE,Intercooperation,"Ministry for Agriculture, Forestry and Rural Development",2393276.957,557432.474,1848831.77,468291.625,2384866.407,1557877.5,6626975.135,2583601.6
  Francophonie celebrations, ," - France
 - Luxembourg
 - Swiss Agency for Development and Cooperation",160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES," - Alliance française de Pristina
 - France
 - Swiss Agency for Development and Cooperation",N/A Beneficiary Organization,0,0,0,0,19147.8,16218.679,19147.8,16218.679
  Support to Kosovo Roosters Rugby Club,Pristina,France,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES," - France
 - Kosovo roosters rugby club",N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Football4Peace," - Kamenica
 - Mitrovica",Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Sport Sans Frontieres,Sport Sans Frontieres,0,0,0,0,0,0,0,0
  Improvement for Health Administration in Kosovo, ,Government of Japan,120 - HEALTH,Japan International Cooperation Agency,Ministry of Health,0,0,0,0,0,0,0,0
  Supporting Local Industry Promotion, ,Government of Japan,321 - INDUSTRY,Japan International Cooperation Agency,Ministry of Trade and Industry,0,0,0,0,0,0,0,0
  School Mediators for Inclusive Education, ,Embassy of Netherlands,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Plan Bee," - Obiliq
 - Suhareka",Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  AkTam SMACk!,Pristina,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Handikos “Association of paraplegics and children paralyses”,Handikos “Association of paraplegics and children paralyses”,0,0,0,0,0,0,0,0
  Mobile Mammographic Facility, ,Embassy of Netherlands,120 - HEALTH, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Multi-ethnic spring camp,Gjilan,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  And We Exist,Fushe Kosova,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Reactivation of the Muti-Etnic School Bus,Mitrovica,Embassy of Netherlands,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Cultivation of Medicinal Herbs and Employment of Women,Gracanica,Embassy of Netherlands,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Public Sector Modernization Project, ,World Bank,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,8000000,0,8000000,0
  Economic Empowerment of rural women in the Peja Region, ,Embassy of Netherlands," - 150 - GOVERNMENT AND CIVIL SOCIETY
 - 311 - AGRICULTURE",NGO Zana,NGO Zana,0,0,0,0,0,0,0,0
  Operations and Maintenance of the Safe House & SOS Line,Gjakova,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Safe House Gjackova,Safe House Gjackova,0,0,19652.675,15722.14,0,4177.279,19652.675,19899.42
  Institutional Development for Education Project, ,World Bank,110 - EDUCATION,"Ministry of Education, Science and Technology"," - Ministry of Education, Science and Technology
 - Ministry of Finance",0,0,0,0,0,0,0,0
  UNDP WSSI Plus, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Development Programme,United Nations Development Programme,0,0,0,0,1045800,0,1045800,0
  Practical Education for the Rule of Law,North Mitrovica,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Don't Close Your Eyes,North Mitrovica,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Community Building Mitrovica,Community Building Mitrovica,0,0,0,0,0,0,0,0
  Searching for Women Rights,Pristina,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Kosovo Women's Network,Kosovo Women's Network,0,0,0,0,0,0,0,0
  Transitional Justice, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,OSCE,OSCE,1266574.324,551218.929,0,349365.179,0,218219.362,1266574.324,1118803.471
  SOCIAL INCLUSION AND LOCAL ECONOMIC DEVELOPMENT, ,World Bank,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  SECOND YOUTH DEVELOPMENT PROJECT, ,World Bank,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  KSC Safehouses," - Gjakova
 - Mitrovica
 - Peja
 - Prizren",Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Kosovo Shelter Coalition,Kosovo Shelter Coalition,0,0,0,0,143561,114848.799,143561,114848.799
  Research and monitoring of the implementation of the law on gender equality, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Shoqata e Juristeve Norma,Shoqata e Juristeve Norma,0,0,0,0,32421.727,25937.653,32421.727,25937.653
  Minority rights in new Kosovo Municipalities," - Gracanica
 - Kllokot
 - Partesh
 - Ranilluk",Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Communication for Social Development,Communication for Social Development,0,0,0,0,0,0,0,0
  Addressing human trafficking for sexual purposes and prostitution in Kosovo, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Campaign against the domestic violence," - Gracanica
 - Leposaviq
 - Mitrovica
 - Zubin Potok
 - Zvecan",Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,NGO Women's Right/NVO Zensko Pravo,NGO Women's Right/NVO Zensko Pravo,0,0,0,0,0,0,0,0
  IPA 2010 - Regional Economic Development - Welcome in Dukagjin, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Cultural Heritage Without Borders,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Information and communication services 2012, ,European Union Office,220 - COMMUNICATION,Management & Development Associate SLLC,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Women Market Center, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Grate ne Biznes (Women in Business),Grate ne Biznes (Women in Business),0,0,0,0,0,0,0,0
"  workshops on weaving, tailoring and sewing",Peja,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,BRIGA,BRIGA,0,0,9486.08,7588.863,0,1628.16,9486.08,9217.024
  Supporting and Strengthening Organization's Structure of Gratë në Biznes to support women entrepreneurs,Pristina,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Grate ne Biznes (Women in Business),Grate ne Biznes (Women in Business),0,0,0,0,0,0,0,0
  Participation Roos de Wildt at anti-Trafficking Conference, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Educational Program, Women in Business",Leposaviq,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Grate ne Biznes (Women in Business),Grate ne Biznes (Women in Business),0,0,0,0,0,0,0,0
  IPA 2011 - Assistance to design the IPA 2013 programme to support Kosovo's Trade Policy, ,European Union Office,321 - INDUSTRY,Fineurop SPA,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  VC Trepca - females,Mitrovica,Embassy of Netherlands," - 150 - GOVERNMENT AND CIVIL SOCIETY
 - 160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES",V.C. Trepça,V.C. Trepça,0,0,0,0,13317.84,10654.272,13317.84,10654.272
  Expansion organization Gratë në Biznes," - Ferizaj
 - Fushe Kosova
 - Gjakova
 - Gracanica
 - Klina
 - Lipjan
 - Malisheva
 - Mitrovica
 - Obiliq
 - Peja
 - Podujeva
 - Pristina
 - Rahovec
 - Shtime
 - Zubin Potok",Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Grate ne Biznes (Women in Business),Grate ne Biznes (Women in Business),0,0,0,0,0,0,0,0
  Women entrepreneurs," - Lipjan
 - Pristina",Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Grate ne Biznes (Women in Business),Grate ne Biznes (Women in Business),0,0,0,0,0,0,0,0
  ENERGY SECTOR CLEANUP AND LAND RECLAMATION PROJECT, ,World Bank,230 - ENERGY GENERATION AND SUPPLY,Kosovo Energy Corporation JSC," - Kosovo Energy Corporation JSC
 - Ministry of Economic Development
 - Ministry of Environment and Spatial Planning",0,0,0,0,0,0,0,0
  Strengthen good governance in Kosovo in line with EU Anti Corruption requirements, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Employment Promotion through Business and Skills Development, ,Government of Denmark,110 - EDUCATION,Danish International Development Agency,"Ministry of Education, Science and Technology",5769600,332248.762,0,1204735.71,955065.711,752805.845,6724665.711,2289790.317
  Kosovo Rule of Law, ," - Embassy of Netherlands
 - United Nations Development Programme",150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Development Programme," - Kosovo Judicial Council
 - Kosovo Judicial Institute
 - Ministry of Justice",0,0,0,0,336500,336500,336500,336500
  Support to the Human Rights Advisory Panel, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Development Programme,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Disaster Risk Reduction, ,United Nations Development Programme,700 - HUMANITARIAN AID,United Nations Development Programme,Government of Kosovo,0,0,0,0,0,0,0,0
  Safeguard of World Heritage Sites," - Decan
 - Gracanica
 - Peja
 - Prizren",Russian Federation,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,"United Nations Educational, Scientific and Cultural Organization",Ministry of Culture Youth and Sports,0,0,0,0,0,0,0,0
  Restoration of the roof of Bogorodica Ljeviska Church in Prizren,Prizren," - Italian Ministry of Cultural Heritage
 - United Nations Educational, Scientific and Cultural Organization",400 - MULTISECTOR/CROSS-CUTTING,"United Nations Educational, Scientific and Cultural Organization",Ministry of Culture Youth and Sports,0,0,0,0,0,0,0,0
  Restoration of Wall paintings of Bogorodica Ljeviska Church and four ottoman fountins of Prizren,Prizren,Bulgaria,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,"United Nations Educational, Scientific and Cultural Organization",Ministry of Culture Youth and Sports,0,0,0,0,0,0,0,0
  Reconstruction and structural strengthening of the Catholic Cathedral St. Mary the Helpmate in Prizren,Prizren,Albania,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,"United Nations Educational, Scientific and Cultural Organization",Ministry of Culture Youth and Sports,0,0,0,0,0,0,0,0
  Flour Fortification in Kosovo, ," - Embassy of Netherlands
 - United States Agency for International Development",120 - HEALTH," - Ministry for Agriculture, Forestry and Rural Development
 - United Nations Children's Fund","Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,319945,36789,319945,36789
  Young Child Survival and Development, ,United Nations Children's Fund," - 120 - HEALTH
 - 130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH"," - Ministry of Health
 - National Institute of Public Health of Kosovo
 - United Nations Children's Fund",Ministry of Health,0,0,0,0,0,0,0,0
  Governance for Children, ,Austria," - 130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH
 - 160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES",United Nations Children's Fund,Office of the Prime Minister,0,0,0,0,0,0,0,0
  AJ Balkans on Citizen Journalism, ,Al-Jazeera,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Children's Fund,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Joint Project On Gender Based Violence UNICEF Part," - Dragash
 - Gjakova
 - Gjilan",Finland,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Children's Fund," - Municipality of Dragash
 - Municipality of Gjakova
 - Municipality of Gjilan",0,0,0,0,0,0,0,0
  Education in Emergencies and Post-Crisis Transition Countries," - Ferizaj
 - Fushe Kosova
 - Gjakova
 - Lipjan
 - Mitrovica
 - Obiliq
 - Peja
 - Podujeva
 - Shtime",United Nations Children's Fund,110 - EDUCATION," - Ministry of Education, Science and Technology
 - United Nations Children's Fund","Ministry of Education, Science and Technology",0,0,438039,438039,0,0,438039,438039
  Rule of Law & Access to Justice, ,Government of Denmark,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Development Programme,Ministry of Justice,0,0,0,0,76206.73,76206.73,76206.73,76206.73
  IPA 2010 - Operational support to the Regional Development Agency - South, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Agjencia per Zhvillimrajonal,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Lot 1: Construction works for the building of the Interim Secure Facility, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Al Trade SHPK,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Data processing of Civil Registry Books, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Danish Refugee Council,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Construction of Municipal Social and Economic Infrastructure – Phase VI (LOT 2 - Monastery), ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Soko Inzinjering d.o.o,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Flood Risk Management for 'Morava e Binces', ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Institutional Support to the Ministry of Environment and Spatial Planning (MESP) of Kosovo, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Agenzia Regionale per la Prevenzione e Protezione Ambientale del Veneto,Ministry of Environment and Spatial Planning,0,0,0,0,0,0,0,0
  IPa 2011 - Empowering civil society organisations in Kosovo to become effective contributors to security policy and decision-making processes," - North Mitrovica
 - Pristina",European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Saferworld LBG,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - EU Support to the Ministry of Labour and Social Welfare, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,WYG International Limited,Ministry of Labor and Social Walfare,0,0,0,0,2037698.3,384665.82,2037698.3,384665.82
  Reintegration and Emigration Programme for Asylum-Seekers in Germany / Government Assisted Repatriation Programme (REAG / GARP), ,German Government,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,International Organization for Migration,Ministry of Labor and Social Walfare,0,0,9580.385,10049.689,11373.411,10631.908,20953.796,20681.597
  Technical Assitance for the formulation of the National Action Plan on Disability, ,Italian Cooperation,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Italian Ministry of Foreign Affairs," - Ministry of Labor and Social Walfare
 - Office for Good Governance",0,0,204855,226140,0,0,204855,226140
  STRENGTHING FINANCIAL AND ADMINISTRATIVE SYSTEMS FOR THE DECENTALISATION OF SOCIAL CARE SERVICES, ,Department for International Development,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,Ministry of Labor and Social Walfare,0,0,2920455.69,30392.692,0,115684.025,2920455.69,146076.718
  Support for policy level and up-scaling activities for Combating Child Labour in Kosovo, ,German Government,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,International Labour Organization,Ministry of Labor and Social Walfare,0,0,0,0,0,0,0,0
  Worst Forms of Child Labour Project 2, ,International Labour Organization,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,International Labour Organization,Ministry of Labor and Social Walfare,0,0,0,0,0,0,0,0
  Return Assistance Switzerland, ,Swiss Federal Office for Migration,400 - MULTISECTOR/CROSS-CUTTING,International Organization for Migration,Ministry of Labor and Social Walfare,0,0,205718,205718,231923,231923,437641,437641
  technical expertise in museography,Pristina,France,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,France,Ministry of Culture Youth and Sports,0,0,0,0,0,0,0,0
