Project Title,AMP ID,Cris Number,Modalities,Objective,Project Description,Status,Donor Agency,Donor Group,Donor Type,Financing Instrument,Funding Classification Date,Funding Status,Type Of Assistance,Actors,Issues,Measures Taken,Primary Sector,Primary Sector Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Responsible Organization,Executing Agency,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,National Planning Objectives Level 4,National Planning Objectives Level 5,National Planning Objectives Level 6,National Planning Objectives Level 7,National Planning Objectives Level 8,Primary Program,Primary Program Level 1,Primary Program Level 2,Primary Program Level 3,Description,Secondary Program,Secondary Program Level 1,Secondary Program Level 8,Financial Instrument,FY,Ministry Code,On/Off/Treasury Budget,Project Code,Donor Observations,Line Ministries Observations,Actual Approval Date,Actual Closed Date,Actual Start Date,Proposed Completion Date,Proposed Project Life,Proposed Start Date,Departement,Implementation Level,District,Region,Proposed Project Amount,2011 Planned Commitments,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Disbursements,2011 Planned Expenditures,2011 Actual Expenditures,2012 Planned Commitments,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Disbursements,2012 Planned Expenditures,2012 Actual Expenditures,2013 Planned Commitments,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Disbursements,2013 Planned Expenditures,2013 Actual Expenditures,2014 Planned Commitments,2014 Actual Commitments,2014 Actual Disbursements,2014 Planned Disbursements,2014 Planned Expenditures,2014 Actual Expenditures,Planned Commitments,Actual Commitments,Actual Disbursements,Planned Disbursements,Planned Expenditures,Actual Expenditures
  TCP Facility ( TCPF/IVC/3401),112007172666,,Totally acquired,"L'objectif global de la mission est (i) d'evaluer les conditions techniques et financieres et de s'assurer de la faisabilite de l'operation (notamment la coordination et l'articulation entre les composantes agriculture, elevage, peche et aquaculture, ) avec toutes les chances de succes ; (ii) de preparer un rapport de faisabilite definissant une strategie de mise en œuvre et de mobilisation des financements correspondants (iii) de formuler un document de projet detaille pour la phase preparatoire (iv) et discuter ces propositions avec les parties interessees a la realisation du RNA. L'objectif global du PNIA, en alignement avec lles priorites sous-regionales, est d'assurer une croissance soutenue du secteur rural, en vue de contribuer a la lutte contre la pauvrete, au renforcement de la securite alimentaire et a la promotion d'un developpement durable.",Composante 1: Appui pour la preparation du RNA et la mise en place d&#39;un SPISA  Composante 3: Appui a la tenue de la table ronde de mobilisation des ressources pour la mise en œuvre du PNIA et de l&#39;initiative du G8 sur la securite alimentaire et la nutrition,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,11/05/2012,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,11/05/2012,,11/05/2012,,,11/05/2012, ,National, , , ,0,0,0,0,0,0,0,273420,101430,101430,0,0,0,0,56700,56700,0,0,0,0,44262.962,44262.962,0,0,0,273420,202392.962,202392.962,0,0
  Activites generatrices de revenus dans le cadre de la reintegration socio-economique des groupes vulnerables afin de restaurer la cohabitation pacifique (ONU/PBF),cmrx_0365,,Funding Search,Faire la reinsertion socio-economique de 640 menages beneficaires vulnerables a travers le soutien des capcites de production agricole. L'augmentation des revenus monetaires et le renforcement de la cohabitation intercommunautaire par la mise en œuvre des activites d'interet collectifs., ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,06/10/2011,Closed,Don financier, , , ,10 - PROTECTION SOCIALE,"107 - Exclusion sociale, n.c.a",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,06/10/2011,31/12/2013,01/11/2011,,,, ,National, , ,219350,0,216090,0,0,0,0,0,0,161700,161700,0,0,0,0,58800,58800,0,0,0,0,0,0,0,0,0,216090,220500,220500,0,0
  Projet d'appui a la securite urbaine (PASU),11200713687,,Totally acquired,Contribuer a l'amelioration de la securite dans les quartiers et a la reduction du sentiment d'insecurite au sein des populations dans les communes de Cote d'Ivoire.,"Composante 1: La concentration, la sensibilisation et la gouvernance locale;    Composante 2: Le Developpement institutionnel;    Composante 3: La prevention sociale ou soutien aux groupes vulnerables;    Composante 4: L&#39;amelioration securitaire ou l&#39;amelioration de l&#39;environnement urbain.",Closed," - Etat
 - Programme des Nations Unies pour le Developpement"," - Systeme des Nations Unies
 - etat"," - Multilateral
 - etat"," - Don projet
 - Ressources Internes"," - 30/11/2002
 - 30/11/2003",Closed," - Don financier
 - Etat Contrepartie", ,Absence de statu des agents recrute dans le cadre des comites communaux de securite, ,03 - ORDRE ET SECURITE PUBLICS,"036 - Ordre et securite publics, n.c.a",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"152 - PREVENTION ET REGLEMENT DES CONFLITS, PAIX ET SECURITE","Ministere d'Etat, Ministere de l'Interieur et de la Securite", ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Defense et Securite,La securite et la protection des personnes et des biens sont assurees au plan national, , , , , , , , , , , , , , ,,,Off Budget, , , ,30/11/2002,31/12/2013,01/01/2004,01/12/2007,,01/01/2004, ,National, , ,5077800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4755660,5021730,0,0,0,0,0,0,0,0,0,5077800,4755660,5021730,0,0
  Enquete demographique et de sante,cmrx_0267,,Totally acquired, , ,Closed,Macro International,Prive,Prive,Don projet," - 
 - 02/01/2012",Closed,Don financier, , , ,07 - SANTE,"076 - Sante, n.c.a",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,130 - POLITIQUE EN MATIERE DE POPULATION/SANTE ET FERTILITE,"Ministere d'Etat, Ministere du Plan et du Developpement", ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Statistiques,Le SSN dispose de personnels qualifies en statistique et en demographie travaillant dans de meilleures conditions, , , , , ," - OBJECTIF 4 - Reduire la mortalite infantile
 - OBJECTIF 5 - Ameliorer la sante maternelle
 - OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies"," - OBJECTIF 4 - Reduire la mortalite infantile
 - OBJECTIF 5 - Ameliorer la sante maternelle
 - OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies", , , , , , , ,,,On Budget,XXXX, , ,02/01/2012,,,,,, ,National, , ,75353.852,0,0,0,0,0,0,0,75353.852,75353.852,75353.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75353.852,75353.852,75353.852,0,0
  E-Agriculture,11200713775,,Funding Search,Circulation de l'information Commerciale et Agricole, ,Planned,Etat,etat,etat,Don projet,,Funding Request,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,046 - Communications,300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,"Ministere de la Poste, des Technologies de l’Information et de la Communication", ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteur Prive,TIC et Poste, , , , , , , , , , , , , , ,,,Off Budget, , ,Recherche de financement des 5 modules (70%) pour 2014-2017/DAO en cours de realisation,,,,,,, ,National, , ,61782250.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61782250.97,0,0,0,0,0
  Amelioration de la production de riz en Afrique de l'Ouest en reponse a la flambee des prix des denrees alimentaires (Initiative to Boost Rice Production in Sud - Saharan Africa),cmrx_0358,,Partially acquired, , ,Ongoing,Ambassade Espagne,Cooperation Espagne,Bilateral,Don projet,,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , , ,,,10/08/2010,,,, ,National, , ,5829016,0,0,0,0,0,0,0,0,0,0,0,0,0,6120450,5401200,5537700,0,0,0,0,0,0,0,0,0,6120450,5401200,5537700,0,0
  Appui a la mise en œuvre d'un programme d'urgence pour la prevention et la lutte contre les maladies a tiques du betail dans le Nord de la Cote d'Ivoire (TCP/IVC/3301),112007172690,,Totally acquired,Contribuer au renforcement de la securite alimentaire des populations affectees par la crise en Cote d'Ivoire a travers l'amelioration de l'etat sanitaire du betail, ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,11/02/2010,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,313 - PECHE,Ministere des Ressources Animales et Halieutiques, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,"Les filieres agricoles, halieutiques et animales sont developpees", , , , , , , , , , , , , ,,,Off Budget, , , ,11/02/2010,31/07/2011,,,,11/02/2010, ,National, , , ,0,0,0,0,0,0,0,0,193620,193620,0,0,0,0,2100,2100,0,0,0,0,0,0,0,0,0,374010,195720,195720,0,0
  Appui a la bonne gouvernance,cmrx_0348,,Totally acquired, , ,Ongoing,Programme des Nations Unies pour le Developpement,Systeme des Nations Unies,Multilateral,Don projet,,Ongoing,Don financier, , , ,01 - SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,150 - GOUVERNEMENT ET SOCIETE CIVILE,Secretariat National a la Gouvernance et au Renforcement des Capacites, ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Gouvernance Administrative et Territoriale, , , , , , , , , , , , , , , ,,,Off Budget, , , ,03/12/2010,31/12/2014,,31/12/2014,,03/12/2010, ,National, , ,1782027,0,0,0,0,0,0,0,0,0,0,0,0,0,1008000,1007600,1007600,0,0,0,0,0,0,0,0,0,1008000,1007600,1007600,0,0
  Perenisation des cantines scolaires,cmrx_0210,,Totally acquired, , ,Closed,Programme des Nations Unies pour le Developpement,Systeme des Nations Unies,Multilateral,Don projet,,Closed,Don financier, ,RAS, ,09 - ENSEIGNEMENT,091 - Enseignements preelementaire et primaire,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,112 - EDUCATION DE BASE,Ministere de l'Education Nationale et de l'Enseignement Technique, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Education Nationale /Alphabetisation, valeurs culturelles et civisme",Les enfants en âge d'etre scolarises ont acces a une education de base et achevent leur cursus scolaire, , , , , ,OBJECTIF 2 - Assurer l'education primaire pour tous,OBJECTIF 2 - Assurer l'education primaire pour tous, , , , , , , ,,,Off Budget, , , ,,31/12/2013,,31/12/2013,,, ,National, , ,9476336,0,0,0,0,0,0,0,0,0,0,0,0,0,9476336,6841800,6852300,0,0,0,0,0,0,0,0,0,9476336,6841800,6852300,0,0
  Projet De Developpement Durable Des Ressources Genetiques Du Tilapia Du Nil Dans Le Bassin De La Volta (Projet TIVO Phase II),11200713664,,Funding Search,Mettre a la disposition des aquaculteurs une souche performante du Tilapia du Nil,Composante 1. Renforcement du potentiel de production des semences d&#39;aquaculture;    Composante 2. Renforcement de la gestion des semences ameliorees;    Composante 3. Gestion du Projet.,Planned,Non identifie,Autre,Autre,Don projet,,Funding Request,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,313 - PECHE,Ministere des Ressources Animales et Halieutiques, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,Les ressources halieutiques sont durablement gerees, , , , , , , , , , , , , ,,,Off Budget, , , ,,,,,,, ,National, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Projet d'appui au renforcement des capacites,112007132540,,Totally acquired, , ,Ongoing,Programme des Nations Unies pour le Developpement,Systeme des Nations Unies,Multilateral,Don projet,16/04/2012,Ongoing,Don financier, , , ,01 - SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,150 - GOUVERNEMENT ET SOCIETE CIVILE,"Ministere d'Etat, Ministere du Plan et du Developpement", ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Gouvernance Administrative et Territoriale, , , , , , , , , , , , , , , ,,,Off Budget, , , ,16/04/2012,31/12/2014,,,,16/04/2012, ,National, , , ,0,0,0,0,0,0,0,232640,0,0,0,0,0,0,115500,121799.999,0,0,0,0,0,0,0,0,0,232640,115500,121799.999,0,0
  Programme d'appui au processus electoral,cmrx_0194,, , , ,Closed,Programme des Nations Unies pour le Developpement,Systeme des Nations Unies,Multilateral,Don projet,01/01/2008,Closed,Don financier, , , ,03 - ORDRE ET SECURITE PUBLICS,"036 - Ordre et securite publics, n.c.a",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"151 - GOUVERNEMENT ET SOCIETE CIVILE, GENERAL",Commission Electorale Independante, ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Gouvernance Administrative et Territoriale, , , , , , , , , , , , , , , ,,,Off Budget, , , ,01/01/2008,31/12/2013,,31/12/2013,,01/01/2008, ,National, , ,67252227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52861200,52934700,0,0,0,0,0,0,0,0,0,67252227,52861200,52934700,0,0
  Assistance preparatoire au Resencement des Exploitants et des Exploitations Agricoles (REEA),cmrx_0322,,Totally acquired,"Aider le Gouvernement a assurer une croissance soutenue du secteur alimentaire et a la promotion d'un developpemement durable se fondant sur des strategies et politiques plus efficaces definies et mises en œuvre sur la base des informations statistiques structurelles fiables, pertinentes et actuelles,", ,Ongoing,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,01/01/2013,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,01/01/2013,,01/03/2013,,,01/03/2013, ,National, , ,366000,0,0,0,0,0,0,0,0,0,0,0,0,0,347340,128099.999,128099.999,0,0,0,0,2107.76,2100,0,0,0,347340,130207.76,130199.999,0,0
  Projet d'Appui au Secteur Education Formation (PASEF),11200713691,,Totally acquired,"- Ameliorer la qualite de l'enseignement et les resultats de l'apprentissage pour les eleves du primaire et au premier cycle du secondaire - Accroître l'acces a l'enseignement primaire et secondaire - Renforcer les capacites institutionnelles au niveau du MEN, METFP, MESRS - Appuyer la preparation de l'endossement a l'IMOA EPT",Composante 1: Amelioration de la Qualite de l'Enseignement Composante 2: Amelioration de l'Acces Composante 3: Developpement Institutionnel Composante 4: Gestion du Projet,Closed," - Association Internationale de Developpement
 - Etat"," - Groupe Banque Mondiale
 - etat"," - Multilateral
 - etat"," - Don projet
 - Ressources Internes",18/06/1998," - Closed
 - Ongoing"," - Don financier
 - Etat Contrepartie", ," - Difficulte de paiement des restes a payer au niveau de l' agence comptable dû a une annulation de mandat de 107 140 000 par l'ACDP
 - Difficulte: * Pas de budget de fonctionnement pour l'achevement des operations residuelles",Levee l' annulation du mandat,09 - ENSEIGNEMENT, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,110 - EDUCATION,Ministere de l'Education Nationale et de l'Enseignement Technique, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Education Nationale /Alphabetisation, valeurs culturelles et civisme", , , , , , ,OBJECTIF 2 - Assurer l'education primaire pour tous,OBJECTIF 2 - Assurer l'education primaire pour tous, , , , , , , ,,,On Budget,ssss, , ,08/06/1998,31/08/2012,25/09/1998,31/12/2002,,, ,National, , ,71196532.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70087290,70087290,0,0,0,0,0,0,0,0,0,71196473.66,70087290,70087290,0,0
  Touton sustainable cocoa outgrowers,112007173965,,Totally acquired,integration des cacaoculteurs non-organises dans une dynamique de durabilite par le renforcement des capacites des equipes d'encadrement de TNCI,composante 1: cacao;   composante 2: activite generatrices de revenu,Ongoing,GIZ,Cooperation Allemagne,Bilateral,Don projet,19/06/2013,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture,GIZ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,La gouvernance du secteur agricole est amelioree, , , , , , , , , , , , , ,,,Off Budget, , , ,19/06/2013,,28/02/2016,,,, ,National, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,610399.999,0,0,0,0,0,0,0,0,0,0,0,610399.999,0,0,0,0
  Acquisition de 500 bus pour la SOTRA,11200713821,,Funding Search, , ,Planned,Banque Africaine de Developpement,Groupe Banque Africaine de Developpement,Multilateral,Don projet,,Awaiting negotiation,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,045 - Transports,200 - INFRASTRUCTURE ET SERVICES eCONOMIQUES,210 - TRANSPORTS ET ENTREPOSAGE,Ministere du Transport, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Infrastructures economiques,Les populations ont un meilleur acces a des services de transport de qualite, , , , , , , , , , , , , , ,,,On Budget,773981101, ,Engagement du PM a faire aboutir les negociation pour financement en 2014,,,,,,, ,National, , ,10500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500000,0,0,10500000,0,0,10500000,0,0,10500000,0,0
  Construction/rehabilitation des infrastructures de base des transports lagunaires,11200713655,,Funding Search, , ,Planned,Banque Africaine de Developpement,Groupe Banque Africaine de Developpement,Multilateral,Don projet,,Awaiting negotiation,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,045 - Transports,200 - INFRASTRUCTURE ET SERVICES eCONOMIQUES,210 - TRANSPORTS ET ENTREPOSAGE,Ministere du Transport, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Infrastructures economiques,Les populations ont un meilleur acces a des services de transport de qualite, , , , , , , , , , , , , , ,,,On Budget,776970193, ,Engagement du PM a faire aboutir les negociation pour financement en 2014,,,,,,, ,National, , ,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100000,0,0,2100000,0,0,2100000,0,0,2100000,0,0
  Extension de 5 etablissements de formation professionnelle,11200713597,,Funding Search, , ,Planned,Banque Africaine de Developpement,Groupe Banque Africaine de Developpement,Multilateral,Don projet,,Awaiting negotiation,Don financier, , , ,09 - ENSEIGNEMENT, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,113 - EDUCATION SECONDAIRE,"Ministere d'Etat, Ministere de l'Emploi, des Affaires Sociales et de la Formation Professionnelle", ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","Recherche Scientifique, Innovation et Transfert de Competences",Enseignement Technique et Formation Professionnelle, , , , , , , , , , , , , , ,,,On Budget,453960401, ,Engagement du PM a faire aboutir les negociation pour financement en 2014,,,,31/12/2010,,, ,National, , ,1368150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368150,0,0,0,0,0,1368150,0,0,0,0,0
  Mise en place de dispositifs de formation specifique pour Jeunes Vulnerables,11200713589,,Funding Search, , ,Planned,Banque Africaine de Developpement,Groupe Banque Africaine de Developpement,Multilateral,Don projet,,Awaiting negotiation,Don financier, , , ,09 - ENSEIGNEMENT, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,113 - EDUCATION SECONDAIRE,"Ministere d'Etat, Ministere de l'Emploi, des Affaires Sociales et de la Formation Professionnelle", ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Education Nationale /Alphabetisation, valeurs culturelles et civisme", , , , , , , , , , , , , , , ,,,On Budget,675990401, ,Engagement du PM a faire aboutir les negociation pour financement en 2014,,,,,,, ,National, , ,1050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050000,0,0,0,0,0,1050000,0,0,0,0,0
  Cote d'Ivoire Country Programme 2009-2013 PCR4 VIH et adolescents,11200713531,,Totally acquired,"Coordonner, suivre et evaluer les interventions de soins et soutien aux OEV et leurs familles",Composante 1: Cadre institutionnel et de coordination   Composante 2: Formation   Composante 3: Mobilisation Plaidoyer   Composante 4: Suivi/Evaluation/ Recherche,Closed,Organisation des Nations Unies pour l'Enfance,Systeme des Nations Unies,Multilateral,Don projet,01/01/2009,Ongoing,Don financier, ,RAS, ,10 - PROTECTION SOCIALE,104 - Famille et enfants,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,130 - POLITIQUE EN MATIERE DE POPULATION/SANTE ET FERTILITE,"Ministere de la Solidarite, de la Famille, de la Femme et de l'Enfant", ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",La lutte contre le VIH/SIDA et les autres problemes prioritaires de sante est renforcee, , , , , ,"OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies","OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies", , , , , , , ,,,Off Budget, , ,Ce projet est cloture depuis 2013,01/01/2009,31/12/2013,02/06/2009,31/12/2013,,, ,National, , ,2415000,0,0,0,0,0,0,0,2415000,0,0,0,0,0,0,2415000,2415000,0,0,0,0,0,0,0,0,0,2415000,2415000,2415000,0,0
